Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
toshiba,Toshiba Excite Go,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-go.jpg,No cellular connectivity,N/A,No,,,,,"2014, May. Released 2014, July",Discontinued,199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in),354.4 g (12.49 oz),,No,"Capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~57.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,Android 4.4.2 (KitKat),Intel Atom Z3735G,Quad-core 1.33 GHz,,microSDXC (dedicated slot),8GB 1GB RAM,,,Yes,VGA,,,Yes,Yes,,Wi-Fi 802.11 b/g/n,"4.0, A2DP",,,No,microUSB 2.0,Accelerometer,"Li-Po 3500 mAh, non-removable (13 Wh)",,"Black/Silver, Black/White",,About 80 EUR,,,,,,,,,,,,,,,,,,,Up to 7 h (multimedia),,,No,No,,,,,,,,,,,,,,,,,,,,,,
toshiba,Toshiba Excite 7c AT7-B8,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-7c-at7-b8.jpg,No cellular connectivity,N/A,No,,,,,"2014, February. Released 2014, February",Discontinued,199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in),354.4 g (12.49 oz),,No,"Capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~57.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,Android 4.2.2 (Jelly Bean),Rockchip RK3168,Dual-core 1.5 GHz Cortex-A9,,microSD (dedicated slot),8GB 1GB RAM,,,Yes,VGA,,,Yes,Yes,,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,,No,microUSB 2.0,Accelerometer,"Li-Po 3500 mAh, non-removable (13 Wh)",,Black/Silver,,About 70 EUR,,,,,,,,,,,,,,,,,,,Up to 11 h (multimedia),,,No,No,,,,,,,,,,,,,,,,,,,,,,
toshiba,Toshiba Excite Pro,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pro-new.jpg,No cellular connectivity,N/A,HDMI port,,,,,"2013, June. Released 2013, July",Discontinued,261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in),630.5 g (1.39 lb),,No,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~63.6% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~299 ppi density)",,"Android 4.2.1 (Jelly Bean), upgradаble to 4.3 (Jelly Bean)",Nvidia Tegra 4,Quad-core Cortex-A15,ULP GeForce,microSDHC (dedicated slot),32GB 2GB RAM,,LED flash,Yes,"8 MP, AF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.0, A2DP",Yes,,No,microUSB 2.0,"Accelerometer, gyro, compass",Li-Po (33 Wh),,Silver,,About 210 EUR,,,,,,,,,,,,,1.2 MP,,,,,,Up to 11 h (multimedia),,,No,No,,,,,,,,,,,,,,,,,,,,,,
toshiba,Toshiba Excite Write,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-write-new.jpg,No cellular connectivity,N/A,Stylus,,,,,"2013, June. Released 2013, July",Discontinued,261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in),671.3 g (1.48 lb),,No,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~63.6% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~299 ppi density)",HDMI port,Android 4.2.1 (Jelly Bean),Nvidia Tegra 4,Quad-core Cortex-A15,ULP GeForce,microSDHC (dedicated slot),32GB 2GB RAM,,LED flash,Yes,"8 MP, AF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.0, A2DP",Yes,,No,microUSB 2.0,"Accelerometer, gyro, compass",Li-Po (33 Wh),,Silver,,About 440 EUR,,,,,,,,,,,,,1.2 MP,,,,,,Up to 11 h (multimedia),,,No,No,,,,,,,,,,,,,,,,,,,,,,
toshiba,Toshiba Excite Pure,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pure-new.jpg,No cellular connectivity,N/A,No,,,,,"2013, June. Released 2013, July",Discontinued,261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in),598.7 g (1.32 lb),,No,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~63.6% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",HDMI port,"Android 4.2.1 (Jelly Bean), upgradаble to 4.3 (Jelly Bean)",Nvidia Tegra 3,Quad-core,,microSDHC (dedicated slot),16GB 1GB RAM,,,Yes,1.2 MP,,,"Yes, with stereo speakers",Yes,,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Yes,,No,microUSB 2.0,"Accelerometer, gyro, compass",Li-Po (25 Wh),,Silver,,About 230 EUR,,,,,,,,,,,,,,,,,,,Up to 13 h 30 min (multimedia),,,No,No,,,,,,,,,,,,,,,,,,,,,,
toshiba,Toshiba Excite 10 SE,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-se.jpg,No cellular connectivity,N/A,SRS audio,,,,,"2012, December. Released 2012, December",Discontinued,261.6 x 180.3 x 10.2 mm (10.30 x 7.10 x 0.40 in),639.6 g (1.41 lb),,No,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~62.7% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",,Android 4.1 (Jelly Bean),Nvidia Tegra 3,Quad-core 1.5 GHz,ULP GeForce 2,microSDHC (dedicated slot),16GB 1GB RAM,,,Yes,"3.15 MP, AF",,,"Yes, with stereo speakers",Yes,,Wi-Fi 802.11 b/g/n,"3.0, A2DP",Yes,,No,microUSB 2.0,"Accelerometer, gyro, compass",Li-Po (25 Wh),,Black/Silver,,About 250 EUR,,,,,,,,,,,,,1.2 MP,,,,,,Up to 12 h (multimedia),,,No,No,,,,,,,,,,,,,,,,,,,,,,
toshiba,Toshiba Excite 13 AT335,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-13-AT335.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,SRS audio,HSDPA,,,HSPA,"2012, April. Released 2012, July",Discontinued,343.8 x 211.2 x 9.8 mm (13.54 x 8.31 x 0.39 in),998 g (2.20 lb),,Mini-SIM,"LED-backlit IPS LCD capacitive touchscreen, 16M colors","13.3 inches, 644.9 cm2 (~88.8% screen-to-body ratio)","1600 x 900 pixels, 16:9 ratio (~120 ppi density)",HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input,Android 4.0 (Ice Cream Sandwich),Nvidia Tegra 3,Quad-core 1.5 GHz,ULP GeForce 2,SD/microSDHC (dedicated slot),"32GB 1GB RAM, 64GB 1GB RAM",,LED flash,1080p@30fps,"5 MP, AF",,,"Yes, with four speakers",Yes,,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",,No,miniUSB 2.0,"Accelerometer, gyro, compass",Non-removable Li-Po battery (38 Wh),,Dark gray metallic,,About 540 EUR,Corning Gorilla Glass,,,,,,,,,,,,2 MP,,,,Up to 168 h,,Up to 13 h,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
toshiba,Toshiba Excite 10 AT305,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-AT305.jpg,No cellular connectivity,N/A,SRS audio,,,,,"2012, April. Released 2012, May",Discontinued,262 x 178 x 9 mm (10.31 x 7.01 x 0.35 in),599 g (1.32 lb),,No,"LED-backlit LCD, capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~63.4% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input,Android 4.0 (Ice Cream Sandwich),Nvidia Tegra 3,Quad-core 1.5 GHz,ULP GeForce 2,SD/microSDHC (dedicated slot),"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM",,LED flash,720p,"5 MP, AF",,,"Yes, with stereo speakers",Yes,,Wi-Fi 802.11 b/g/n,"3.0, A2DP",Yes,,No,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, compass",Non-removable Li-Po battery (25 Wh),,Black/Silver,,About 290 EUR,Corning Gorilla Glass,,,,,,,,,,,,2 MP,,,,Up to 168 h,,Up to 10 h,,,No,No,,,,,,,,,,,,,,,,,,,,,,
toshiba,Toshiba Excite 7.7 AT275,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-77-AT275.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,SRS audio,HSDPA,,,HSPA,"2012, April. Released 2012, July",Discontinued,204.5 x 135.2 x 7.8 mm (8.05 x 5.32 x 0.31 in),332 g (11.71 oz),,Mini-SIM,"AMOLED capacitive touchscreen, 16M colors","7.7 inches, 171.9 cm2 (~62.2% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~196 ppi density)",MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input,Android 4.0 (Ice Cream Sandwich),Nvidia Tegra 3,Quad-core 1.5 GHz,ULP GeForce 2,microSDHC (dedicated slot),"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM",,LED flash,720p,"5 MP, AF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 b/g/n, hotspot",3.0,"Yes, with A-GPS",,No,miniUSB 2.0,"Accelerometer, gyro, compass",Non-removable Li-Po battery (15 Wh),,Dark gray metallic,,About 410 EUR,Corning Gorilla Glass,,,,,,,,,,,,2 MP,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
toshiba,Toshiba Excite AT200,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-at200.jpg,No cellular connectivity,N/A,HDMI port MP3/WAV/WMA/eAAC+ player MP4/H.264/WMV player Organizer Document viewer Photo editor Voice memo Predictive text input,,,,,"2011, September. Released 2012, January",Discontinued,256 x 176 x 7.7 mm (10.08 x 6.93 x 0.30 in),558 g (1.23 lb),,No,"LED-backlit LCD, capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~65.6% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",,Android 3.2 (Honeycomb),TI OMAP 4430,1.2 GHz,PowerVR SGX540,microSDHC (dedicated slot),"16GB 1GB RAM, 32GB 1GB RAM",,LED flash,720p,"5 MP, AF",,,"Yes, with stereo speakers",Yes,,Wi-Fi 802.11 b/g/n,"2.1, A2DP, EDR","Yes, with A-GPS",,No,miniUSB 2.0,"Accelerometer, gyro, compass",Non-removable Li-Ion battery,,Black,,About 530 EUR,,,,,,,,,,,,,2 MP,,,,,,Up to 8 h (multimedia),,,No,No,,,,,,,,,,,,,,,,,,,,,,
