Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
ulefone,Ulefone Armor 8 5G,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-8-5g.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 1.2 m MIL-STD-810G compliant,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE,SA/NSA,"HSPA 42.2/11.5 Mbps, LTE-A, 5G","2020, September 21","Coming soon. Exp. release 2020, November",-,-,"Front glass, aluminum back with rubber, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm2","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",Unknown camera,Android 10,MediaTek MT6873 Dimensity 800 5G (7 nm),Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57 MP4,microSDXC (uses shared SIM slot),256GB 8GB RAM,,"LED flash, Panorama, HDR",1080p@30fps,,,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,"FM radio, RDS, recording","USB 2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor, coulombmeter","Li-Po 5080 mAh, non-removable",Fast charging,"Black, Orange, Red",,,"Scratch-resistant glass, oleophobic coating","64 MP, f/1.8, (wide), 1/1.72"", 0.8µm, PDAF 2 other unknown cameras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulefone,Ulefone Armor 9E,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-9e.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,"HSPA 42.2/11.5 Mbps, LTE Cat12 600/150 Mbps","2020, September 08","Available. Released 2020, September 08",168.2 x 82 x 15 mm (6.62 x 3.23 x 0.59 in),324 g (11.43 oz),"Front glass, aluminum back with rubber, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~70.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",CDMA2000 1xEV-DO,Android 10,Mediatek MT6779 Helio P90 (12 nm),Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),PowerVR GM9446,microSDXC (uses shared SIM slot),128GB 8GB RAM,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.4, 100˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.2, (macro) 2 MP, f/2.2, (depth)","Quad-LED flash, HDR, panorama","4K@30fps, 1080p@30fps","8 MP, f/2.2","HDR, panorama",1080p@30fps,Yes,Yes,Endoscope mount (camera sold separately),"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,"FM radio, RDS, recording","USB 2.0, Type-C 1.0 reversible connector, USB On-The-Go, accessory connector","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, coulombmeter","Li-Po 6600 mAh, non-removable",Fast charging 18W,Black,,About 290 EUR,"Scratch-resistant glass, oleophobic coating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulefone,Ulefone Armor X5 Pro,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x5-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 1.2 m MIL-STD-810G compliant,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 28",,"HSPA 42.2/11.5 Mbps, LTE-A Cat7 300/150 Mbps","2020, September 08","Available. Released 2020, September 08",158 x 77.5 x 13.9 mm (6.22 x 3.05 x 0.55 in),235 g (8.29 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~63.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",,Android 10,Mediatek MT6762V/WD Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),64GB 4GB RAM,,"LED flash, Panorama, HDR",1080p@30fps,"5 MP, f/2.2",,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,"FM radio, RDS, recording",microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable",Charging 10W,"Black, Orange, Red",,About 110 EUR,,,,,,,,,,,,"13 MP, f/2.0, (wide), PDAF 2 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulefone,Ulefone Note 8,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-8.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2020, August 28","Available. Released 2020, August 28",141.7 x 66.5 x 12 mm (5.58 x 2.62 x 0.47 in),153 g (5.40 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 74.1 cm2 (~78.7% screen-to-body ratio)","442 x 960 pixels, 19.5:9 ratio (~192 ppi density)",,Android 10 (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDXC (dedicated slot),16GB 2GB RAM,,"LED flash, HDR",720p@30fps,2 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP","Yes, with A-GPS",,"Stereo FM radio, RDS, recording",microUSB 2.0,Accelerometer,"Li-Ion 2700 mAh, non-removable",,"Black, Amber Sunrise, Midnight Green",,€ 59.99 / $ 54.99 / £ 49.99,,,,,,,,,,,,"5 MP, f/2.8 2 MP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€ 59.99,,,
ulefone,Ulefone Armor 8,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 1.2 m MIL-STD-810G compliant,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 28, 66",,"HSPA 42.2/11.5 Mbps, LTE-A Cat7 300/150 Mbps","2020, August 17","Available. Released 2020, August 17",166 x 81.8 x 15 mm (6.54 x 3.22 x 0.59 in),282 g (9.95 oz),"Front glass, aluminum back with rubber, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm2 (~67.3% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,Android 10,Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC (uses shared SIM slot),64GB 4GB RAM,,"LED flash, Panorama, HDR",1080p@30fps,"8 MP, f/2.2",,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,"FM radio, RDS, recording","USB 2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor, coulombmeter","Li-Po 5580 mAh, non-removable",Fast charging 15W,"Black, Orange, Red",,€ 189.99 / $ 129.99 / £ 169.99,"Scratch-resistant glass, oleophobic coating","16 MP, f/2.2, (wide), PDAF 5 MP, f/2.4, (macro) 2 MP, f/2.2, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€ 189.99,,,,,,,,,,,,
ulefone,Ulefone Note 9P,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-9p.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28",,"HSPA 42.2/11.5 Mbps, LTE-A Cat7 300/150 Mbps","2020, July 27","Available. Released 2020, July 27",166 x 76.7 x 9.2 mm (6.54 x 3.02 x 0.36 in),188 g (6.63 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.52 inches, 102.6 cm2 (~80.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,Android 10,Mediatek MT6762 Helio P22 (12 nm),Octa-core (4x1.8 GHz & 4x1.5 GHz),PowerVR GE8320,microSDXC (dedicated slot),64GB 4GB RAM,,"Dual-LED flash, HDR",1080p@30fps,"8 MP, f/2.2",,720p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,"Stereo FM radio, RDS, recording","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4500 mAh, non-removable",Charging 10W Reverse charging,"Aurora Blue, Midnight Green, Black",,About 120 EUR,,"16 MP, f/2.2, AF 5 MP, (macro) 2 MP, (depth)",,,,,,,,,,,,,,,,0.29 W/kg (head)     1.01 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,
ulefone,Ulefone Armor 9,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-9.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,"HSPA 42.2/11.5 Mbps, LTE Cat12 600/150 Mbps","2020, June 29","Available. Released 2020, June 29",168.2 x 82 x 15 mm (6.62 x 3.23 x 0.59 in),320 g (11.29 oz),"Front glass, aluminum back with rubber, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~70.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",CDMA2000 1xEV-DO,Android 10,Mediatek MT6779 Helio P90 (12 nm),Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),PowerVR GM9446,microSDXC (uses shared SIM slot),128GB 8GB RAM,,"Thermal imaging, heat palettes, temp. spot meter, quad-LED flash, panorama",1080p@30fps,"8 MP, f/2.2",,1080p@30fps,Yes,Yes,UFS 2.1,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,"FM radio, RDS, recording","USB 2.0, Type-C 1.0 reversible connector, USB On-The-Go, accessory connector (endoscope)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, baroceptor, coulombmeter","Li-Po 6600 mAh, non-removable",Fast charging 18W,Black,,€ 549.99 / $ 429.99 / £ 209.99,"Scratch-resistant glass, oleophobic coating","64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF 2 MP, f/2.2, (depth) FLIR thermal camera (Lepton module)",,,,-30.1 LUFS (Below average),,,€ 549.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulefone,Ulefone Note 8P,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-8p.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, June 08","Available. Released 2020, June 08",141.7 x 66.5 x 12 mm (5.58 x 2.62 x 0.47 in),153 g (5.40 oz),,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 74.1 cm2 (~78.7% screen-to-body ratio)","442 x 960 pixels, 19.5:9 ratio (~192 ppi density)",,Android 10 (Go edition),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP1,microSDXC (dedicated slot),16GB 2GB RAM,,"LED flash, HDR",720p@30fps,"5 MP, f/2.2",,720p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,"Stereo FM radio, RDS, recording",microUSB 2.0,Accelerometer,"Li-Ion 2700 mAh, non-removable",,"Black, Amber Sunrise, Midnight Green",,About 70 EUR,,,,,,,,,,,,"8 MP, f/2.0, AF 2 MP",,,,,,1.11 W/kg (head)     1.11 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,
ulefone,Ulefone Armor X7 Pro,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x7-pro1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68/IP69K dust/water resistant (up to 1.5m for 30 mins) Drop-to-concrete resistance from up to 1.2 m MIL-STD-810G compliant,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20",,"HSPA 42.2/11.5 Mbps, LTE Cat6 300/150 Mbps","2020, June 08","Available. Released 2020, June 08",150 x 78.9 x 14.6 mm (5.91 x 3.11 x 0.57 in),234 g (8.25 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~58.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",eMMC 5.1,Android 10,Mediatek MT6761 Helio A20 (12 nm),Quad-core 1.8 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),32GB 4GB RAM,,Dual-LED flash,1080p@30fps,"5 MP, f/2.2",,720p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO",Yes,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",,"Black, Orange",,About 110 EUR,,,,,,,,,,,,"13 MP, f/2.2, (wide), AF 2 MP, (depth)",,,,,,0.80 W/kg (head)     0.79 W/kg (body),,,,,,,,,,,,,,,,,,,,,,,,,,,
ulefone,Ulefone Armor 7E,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-7e.jpg,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71",,"HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat13 600/150 Mbps","2020, March 30","Available. Released 2020, March 30",165.9 x 81 x 13.6 mm (6.53 x 3.19 x 0.54 in),290 g (10.23 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~72.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",CDMA2000 1xEV-DO,Android 9.0 (Pie),Mediatek MT6779 Helio P90 (12 nm),Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),PowerVR GM9446,microSDXC (uses shared SIM slot),128GB 4GB RAM,,"5-LED flash, HDR, panorama","4K@30fps, 1080p@30fps","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",,1080p@30fps,Yes,No,IP68 dust/water resistant Drop-to-concrete resistance from up to 1.2 m MIL-STD-810G compliant,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,"Stereo FM radio, RDS, recording","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, heart rate, baroceptor, coulombmeter","Li-Po 5500 mAh, non-removable",Fast charging 15W Fast wireless charging 10W,Black,,About 250 EUR,,"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF 2 MP, f/2.2, (macro) 2 MP, f/2.2, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
