Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
unnecto,Unnecto Bolt,https://fdn2.gsmarena.com/vv/bigpic/unnecto-bolt.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,"2, 3, 4, 12, 17",,"HSPA 42.2/5.76 Mbps, LTE","2016, June","Available. Released 2016, August",145.2 x 73.5 x 9.2 mm (5.72 x 2.89 x 0.36 in),170 g (6.00 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 5.1 (Lollipop),,Quad-core 1.1 GHz,Adreno 304,microSDHC,8GB 1GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, PDAF",,,"Yes, with stereo speakers",Yes,,Wi-Fi 802.11 b/g/n,"4.1, LE","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",,"Black, Silver",,,,,,,,,,,,,,,"2 MP, AF",,,,Up to 200 h (2G) / Up to 175 h (3G),1.25 W/kg (head)     1.15 W/kg (body),Up to 6 h (2G) / Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Neo V,https://fdn2.gsmarena.com/vv/bigpic/unnecto-neo-v.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,HSDPA 850 / 1900 / 2100,,,HSPA 42.2/11.5 Mbps,"2016, May","Available. Released 2016, July",143.5 x 70.5 x 9.2 mm (5.65 x 2.78 x 0.36 in),177 g (6.24 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 5.1 (Lollipop),,Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,8GB 1GB RAM,,"Dual-LED flash, HDR, panorama",720p@30fps,"8 MP, PDAF",LED flash,,"Yes, with stereo speakers",Yes,,Wi-Fi 802.11 b/g/n,"4.0, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",,"Black, White, Blue",,,,,,,,,,,,,,,"1.3 MP, AF",,,,Up to 200 h (2G) / Up to 175 h (3G),0.62 W/kg (head)     0.96 W/kg (body),Up to 6 h (2G) / Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Quattro S,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-s.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 42.2/21 Mbps,"2016, May","Available. Released 2016, July",124.5 x 64.5 x 10.2 mm (4.90 x 2.54 x 0.40 in),113 g (3.99 oz),,"Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 256K colors","4.0 inches, 45.5 cm2 (~56.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 5.1 (Lollipop),,Quad-core 1.2 GHz,Mali-400,microSDHC,8GB 1GB RAM,,"LED flash, HDR, panorama",720p@30fps,"5 MP, PDAF",,,"Yes, with stereo speakers",Yes,,Wi-Fi 802.11 a/b/g/n,2.1,"Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1400 mAh, removable",,"Black, White, Navy",,,,,,,,,,,,,,,"1.3 MP, AF",,,,Up to 100 h (2G) / Up to 72 h (3G),,Up to 5 h (2G) / Up to 4 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Quattro V,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-v.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,HSDPA 850 / 1900 / 2100,,,HSPA 42.2/11.5 Mbps,"2016, May","Available. Released 2016, July",120.3 x 63.2 x 11.7 mm (4.74 x 2.49 x 0.46 in),163 g (5.75 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~59.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 5.1 (Lollipop),,Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDHC,8GB 1GB RAM,,"LED flash, HDR, panorama",720p@30fps,"5 MP, PDAF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS",,Stereo FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Li-Ion 1600 mAh, removable",,"Black, White, Blue",,,,,,,,,,,,,,,"1.3 MP, AF",,,,Up to 160 h (2G) / Up to 140 h (3G),0.87 W/kg (head)     1.02 W/kg (body),Up to 5 h (2G) / Up to 4 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Drone XS,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xs.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2016, May","Available. Released 2016, June",115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),113 g (3.99 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 4.4 (KitKat),,1.2 GHz Cortex-A7,Mali-400,microSDHC,4GB 512MB RAM,,"LED flash, HDR, panorama",720p@30fps,"3 MP, PDAF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, gyro, proximity","Li-Ion 1100 mAh, removable",,"Black, White, Blue",,,,,,,,,,,,,,,"1.3 MP, AF",,,,Up to 160 h (2G) / Up to 140 h (3G),,Up to 5 h (2G) / Up to 4 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Primo 2G,https://fdn2.gsmarena.com/vv/bigpic/unnecto-primo-2g.jpg,GSM,GSM 850 / 900 / 1800 / 1900,No,,,,,"2016, March","Available. Released 2016, April",110.5 x 43 x 13.7 mm (4.35 x 1.69 x 0.54 in),73 g (2.57 oz),,Mini-SIM,TFT,"1.8 inches, 10.2 cm2 (~21.5% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),Audio/video player Organizer Voice memo,,,,,microSDHC,32MB 32MB RAM,,,720p@30fps,"1 MP, AF",,,Yes,Yes,,No,2.0,No,,Stereo FM radio,microUSB 2.0,,"Li-Ion 800 mAh, removable",,Black/Grey,,,,,,,,,,,,,,,,,,,Up to 160 h,,Up to 8 h,,,Yes,Yes,,,Yes,Yes,"SMS(threaded view), MMS",No,No,,,,,,,,,,,,,,,
unnecto,Unnecto Omnia,https://fdn2.gsmarena.com/vv/bigpic/unnecto-omnia.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1700(AWS) / 1900 / 2100,"2, 4, 12, 17",,"HSPA, LTE","2015, January. Released 2015, March",Discontinued,142.9 x 72.6 x 8.9 mm (5.63 x 2.86 x 0.35 in),163 g (5.75 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 5.1 (Lollipop),,Quad-core 1.0 GHz,Mali-T720,microSDHC,8GB 1GB RAM,,LED flash,1080p@30fps,"8 MP, AF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, removable",,"Black, White, Gray",,,,,,,,,,,,,,,3 MP,,,,Up to 188 h (3G),,Up to 6 h 30 min (3G),Up to 24 h,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Swift,https://fdn2.gsmarena.com/vv/bigpic/unnecto-swift.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,"2, 3, 4, 12",,"HSPA, LTE","2015, January. Released 2015, March",Discontinued,119.3 x 63 x 10 mm (4.70 x 2.48 x 0.39 in),120.5 g (4.27 oz),,Dual SIM,IPS LCD capacitive touchscreen,"4.0 inches, 45.5 cm2 (~60.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 5.1 (Lollipop),,Quad-core 1.0 GHz,Mali-T720,microSDHC,8GB 1GB RAM,,LED flash,1080p@30fps,5 MP,,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 1600 mAh, removable",,"Black, White, Blue",,,,,,,,,,,,,,,VGA,,,,Up to 188 h (3G),,Up to 6 h 30 min (3G),Up to 24 h,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Quattro X,https://fdn2.gsmarena.com/vv/bigpic/unnecto-qx.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, January",Discontinued,123 x 64 x 9.2 mm (4.84 x 2.52 x 0.36 in),120 g (4.23 oz),,Dual SIM (dual stand-by),"IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~57.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.4.2 (KitKat),,Dual-core 1.3 GHz,Mali-400,microSDHC,4GB 512MB RAM,,LED flash,Yes,5 MP,,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,Li-Ion 1600 mAh battery,,"Black, White, Blue",,,,,,,,,,,,,,,VGA,,,,Up to 45 h (3G),,Up to 6 h (3G),Up to 24 h,,,,,,,,,,,,,,,,,,,,,,,,,
unnecto,Unnecto Drone XL,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xl.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, March",Discontinued,115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),110 g (3.88 oz),,Dual SIM (dual stand-by),"IPS LCD capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Android 4.4.2 (KitKat),,1.2 GHz,Mali-400,microSDHC,512MB 256MB RAM,,LED flash,Yes,3.15 MP,,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,Li-Ion 1100 mAh battery,,"Black, White, Blue",,,,,,,,,,,,,,,VGA,,,,Up to 40 h (3G),,Up to 5 h (3G),Up to 20 h,,,,,,,,,,,,,,,,,,,,,,,,,
