Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
vertu,Vertu Signature Touch (2015),https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-2015.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,TD-SCDMA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 5, 7, 8, 13, 17, 20, 25, 28, 29, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2015, September. Released 2015, October",Discontinued,155 x 74 x 10.8 mm (6.10 x 2.91 x 0.43 in),225-236 g (8.32 oz),,Micro-SIM,"Sapphire crystal glass capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~65.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Titanium body (forged grade 5) and luxurious calf leather covered rear panel,Android 5.1 (Lollipop),Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.56 GHz Cortex-A53 & 4x1.82 GHz Cortex-A57),Adreno 430,microSDXC (dedicated slot),64GB 4GB RAM,,"Dual-LED dual-tone flash, panorama, HDR",Yes,"21 MP, PDAF",,,"Yes, with stereo speakers",Yes,eMMC 5.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS",Yes,No,"microUSB 2.0 (MHL), USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Ion 3160 mAh, non-removable",Fast charging 18W Quick Charge 2.0 Qi wireless charging,"Jet Calf, Garnet Calf, Grape Lizard, Pure Jet Lizard, Jet Alligator, Pure Navy Alligator, Clous de Paris Alligator, Pure Jet Red Gold",,About 9000 EUR,Sapphire crystal glass,,,,,,,,,,,,2.1 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertu,Vertu Aster,https://fdn2.gsmarena.com/vv/bigpic/vertu-aster1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Titanium body (forged grade 5) and luxurious calf leather covered rear panel,HSDPA 850 / 900 / 1700 / 1900 / 2100,"1, 5, 7, 8, 17, 20, 25",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, October. Released 2014, December",Discontinued,143.4 x 69 x 11.2 mm (5.65 x 2.72 x 0.44 in),193 g (6.81 oz),,Nano-SIM,"Sapphire crystal glass capacitive touchscreen, 16M colors","4.7 inches, 59.9 cm2 (~60.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~473 ppi density)",eMMC 5.0,Android 4.4.2 (KitKat),Qualcomm Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,No,64GB 2GB RAM,,Dual-LED flash,Yes,"13 MP, Hasselblad certified, AF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, aptX, LE","Yes, with A-GPS, GLONASS",Yes,No,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Ion 2275 mAh, non-removable",Qi wireless charging,"Onyx Calf, Lagoon Calf, Blush Calf, Caviar Karung, Tangerine Karung, Raspberry Ostrich, Cognac Ostrich",,About 5440 EUR,"Sapphire crystal glass, oleophobic coating",,,,,,,,,,,,2.1 MP,,,,Up to 380 h (3G),,Up to 15 h 30 min (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
vertu,Vertu Signature Touch,https://fdn2.gsmarena.com/vv/bigpic/vertu-signature-touch-clous-de-paris.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Titanium body (forged grade 5) and luxurious calf leather covered rear panel,HSDPA 850 / 900 / 1700 / 1900 / 2100,"1, 5, 7, 8, 17, 20, 25",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2014, June. Released 2014, June",Discontinued,145 x 69 x 10.7 mm (5.71 x 2.72 x 0.42 in),192 g (6.77 oz),,Micro-SIM,"Sapphire crystal glass capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~60.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~469 ppi density)",eMMC 5.0,Android 4.4.2 (KitKat),Qualcomm Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,No,64GB 2GB RAM,,Dual-LED flash,1080p@30fps,"13 MP, Hasselblad certified, AF",,,"Yes, with stereo speakers",Yes,Tuned by Bang & Olufsen,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",Yes,No,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Ion 2275 mAh, non-removable",,"Jet/ Claret leather, pure Jet leather, pure Jet red gold, Seaspray/ Damson/ Pure navy lizard, Jet alligator, Clous De Paris",,About 8290 EUR,Scratch-proof glass,,,,,,,,,,,,2.1 MP,,,,Up to 380 h,0.69 W/kg (head)     1.29 W/kg (body),Up to 15 h 30 min,,,,,0.49 W/kg (head),,,,,,,,,,,,,,,,,,,,,
vertu,Vertu Constellation 2013,https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-2013.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Titanium body (forged grade 5) and luxurious calf leather covered rear panel,HSDPA 850 / 900 / 1700 / 1900 / 2100,,,HSPA 42.2/5.76 Mbps,"2013, October. Released 2013, October",Discontinued,142.2 x 70.4 x 11.2 mm (5.60 x 2.77 x 0.44 in),179 g (6.31 oz),,Nano-SIM,"Sapphire crystal glass capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~50.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~342 ppi density)",,Android 4.2.2 (Jelly Bean),,Dual-core 1.7 GHz,,No,32GB,,Dual-LED flash,Yes,"13 MP, AF",,,"Yes, built-in amplifier",Yes,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",Yes,No,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 1800 mAh, non-removable",,"Cappuccino, Black, Orange, Mocha, Raspberry, Pure Navy Alligator, Pure Plum Alligator",,About 5000 EUR,Scratch-proof glass,,,,,,,,,,,,1.3 MP,,,,Up to 405 h (3G),0.68 W/kg (head)     0.98 W/kg (body),Up to 14 h 30 min (3G),Up to 43 h,,,,0.49 W/kg (head),,,,,,,,,,,,,,,,,,,,,
vertu,Vertu Ti,https://fdn2.gsmarena.com/vv/bigpic/vertu-ti.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Titanium body (grade 5),HSDPA 850 / 900 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2013, February. Released 2013, February",Discontinued,-,-,,Mini-SIM,"Sapphire crystal glass capacitive touchscreen, 16M colors","3.7 inches, 39.0 cm2","480 x 800 pixels, 5:3 ratio (~252 ppi density)",,Android 4.0 (Ice Cream Sandwich),,Dual-core 1.7 GHz,,microSDHC (dedicated slot),64GB 1GB RAM,,LED flash,1080p@30fps,"8 MP, AF",,,"Yes, with stereo speakers (Bang&Olufsen)",Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion, non-removable",,Black/Gray,,About 7900 EUR,Scratch-resistant glass,,,,,,,,,,,,1.3 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertu,Vertu Constellation,https://fdn2.gsmarena.com/vv/bigpic/vertu-constelation.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,No,HSDPA 850 / 900 / 1900 / 2100,,,HSPA,"2011, October. Released 2011, October",Discontinued,118.2 x 54.5 x 12.2 mm (4.65 x 2.15 x 0.48 in),164g - 199g (7.02 oz),,Mini-SIM,"AMOLED capacitive touchscreen, 16M colors","3.5 inches, 33.8 cm2 (~52.4% screen-to-body ratio)","360 x 640 pixels, 16:9 ratio (~210 ppi density)","Vertu Concierge service SNS support MP3/WMA/WAV/eAAC+ player DivX/XviD/MP4/H.264/WMV player Quickoffice document editor (Word, Excel, PowerPoint, PDF) Adobe Reader Voice memo/dial/command Predictive text input","Symbian^3, upgradable to Nokia Belle OS",,,,microSDHC (dedicated slot),,,Dual-LED flash,"720p@25fps, 720p@30fps (via SW update)",8 MP,,,Yes,Yes,,Wi-Fi 802.11 b/g/n,"3.0, A2DP","Yes, with A-GPS",,,microUSB 2.0,"Accelerometer, proximity, compass",Non-removable Li-Ion 1200 mAh battery (BL-5K),,"Stain/Polished stainless steel, brown/black/pink leather or black alligator skin",,About 2330 EUR,"Shatter proof sapphire crystal glass, oleophobic coating",,,,,,,,,,,,,,,,Up to 400 h (2G) / Up to 400 h (3G),,Up to 7 h (2G) / Up to 4 h 30 min (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
vertu,Vertu Ascent Ferrari GT,https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-ferrari-gt.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Flashlight,HSDPA 850 / 900 / 1900 / 2100,,,HSPA,"2011, January. Released 2011, Q2",Discontinued,118 x 45 x 18 mm (4.65 x 1.77 x 0.71 in),187 g (6.60 oz),,Mini-SIM,"TFT, 16M colors","2.0 inches, 12.4 cm2 (~23.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Sapphire crystal stainless steel keys Chronograph stopwatch,,,,,No,32GB,,LED flash,Yes,"5 MP, AF",,,Yes,No,MP4/H.263 player MP3/WAV/AAC+ player synchronization service Vertu Concierge service Vertu Fortress secure back up service Organizer Voice memo/dial Predictive text input,No,"2.1, A2DP","Yes, with A-GPS",,No,microUSB 2.0,Accelerometer,Removable Li-Ion battery,,Black,,,,,,,,,,,,,,,,,,,Up to 300 h (2G) / Up to 300 h (3G),,Up to 4 h 50 min (2G) / Up to 4 h (3G),,,,,,,"2000 contacts, Photocall",Yes,"SMS, MMS, Email",Yes,"Yes, MIDP 2.0","WAP 2.0/xHTML, HTML",,,,,,,,,,,,,,
vertu,Vertu Constellation Quest,https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-quest.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Optical trackpad,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 10.2/2 Mbps,"2010, October. Released 2010, December",Discontinued,"116.2 x 60.8 x 12.7 mm, 87 cc (4.57 x 2.39 x 0.5 in)",165-185 g (6.53 oz),,Mini-SIM,"TFT, 16M colors","2.46 inches, 18.7 cm2 (~26.5% screen-to-body ratio)","640 x 480 pixels, 4:3 ratio (~325 ppi density)",No,Symbian OS,,,,"microSDHC (dedicated slot), 32 GB included",8GB,,Dual-LED flash,Yes,"5 MP, AF",,,Yes,Yes,"Facebook, Twitter apps MP4/H.263 player MP3/WMA/WAV/eAAC+ player QuickOffice editor (Word, Excel, PowerPoint) PDF viewer Voice memo/dial/commands Organizer Vertu Concierge service Predictive text input",Wi-Fi 802.11 b/g,"2.1, A2DP","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, compass",Non-removable Li-Po 1500 mAh battery,,"Silver, Pink, Black, Brown, Yellow Gold, Carbon fibre with gold, Carbon fibre",,About 6140 EUR,,,,,,,,,,,,,,,,,Up to 350 h (2G) / Up to 430 h (3G),,Up to 7 h 30 min (2G) / Up to 5 h 40 min (3G),,,,,,QWERTY,,,,,,"WAP 2.0/xHTML, HTML",,,,,,,,,,,,,,
vertu,Vertu Ascent 2010,https://fdn2.gsmarena.com/vv/bigpic/vertu-ascent-2010.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Flashlight,HSDPA 850 / 900 / 1900 / 2100,,,HSPA,"2010, April. Released 2010, April",Discontinued,"117 x 46 x 19 mm, 82 cc (4.61 x 1.81 x 0.75 in)",170 g (6.00 oz),,Mini-SIM,"TFT, 16M colors","2.0 inches, 12.4 cm2 (~23.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Sapphire crystal stainless steel keys Chronograph stopwatch,,,,,No,"8GB (Aluminium), 32GB (Titanium)",,LED flash,Yes,"5 MP, AF",,,Yes,No,Organizer MP4/H.263 player MP3/WAV/AAC+ player synchronization service Vertu Concierge service Vertu Fortress secure back up service Voice memo/dial Predictive text input,No,"2.0, A2DP","Yes, with A-GPS",,No,microUSB 2.0,Accelerometer,Non-removable Li-Ion battery,,Aluminium and Titanium versions with various colors,,,,,,,,,,,,,,,,,,,Up to 300 h (2G) / Up to 300 h (3G),,Up to 5 h (2G) / Up to 4 h (3G),,,,,,,"2000 contacts, Photocall",Yes,"SMS, MMS, Email",Yes,"Yes, MIDP 2.0","WAP 2.0/xHTML, HTML",,,,,,,,,,,,,,
vertu,Vertu Constellation Ayxta,https://fdn2.gsmarena.com/vv/bigpic/vertu-constellation-ayxta.jpg,GSM,GSM 850 / 900 / 1800 / 1900,"External monochrome display, 128 x 160 pixels",,,,,"2009, September. Released 2009, October",Discontinued,"100 x 48 x 18 mm, 74 cc (3.94 x 1.89 x 0.71 in)",175 g (6.17 oz),,Mini-SIM,"TFT, 16M colors","2.4 inches, 16.4 cm2 (~34.2% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~194 ppi density)",1500 calendar notes 1000 SMS,,,,,microSDHC (dedicated slot),100MB,,LED flash,Yes,"3.15 MP, AF",,,Yes,No,MP4/H.264/WMV player MP3/eAAC+/WMA player Organizer Voice memo Predictive text input,No,2.0,"Yes, with A-GPS; Google maps",,No,2.0,,Non-removable Li-Ion 1000 mAh battery (BL-4UV),,"Black, Dark Brown",,About 5020 EUR,Scratch-resistant glass,,,,,,,,,,,,,,,,Up to 300 h,,Up to 5 h 30 min,,,Class 10,Class 10,,,"2000 contacts, Photocall","30 received, dialed and missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",WAP 2.0 / xHTML,,,,,,,,,,,,,,Yes
