Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
verykool,verykool s5702 Royale Quattro,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5702.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2018, February","Available. Released 2018, February",157 x 74.2 x 9.8 mm (6.18 x 2.92 x 0.39 in),196 g (6.91 oz),,Dual SIM (Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~72.0% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,16GB 2GB RAM,,"Dual-LED flash, panorama",1080p@30fps,,LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 3200 mAh, non-removable",,"Black, Blue, Gold",,,Scratch-resistant glass,,,,,,,,,,,"13 MP, AF 2 MP, (depth)",,,"5 MP 2 MP, depth sensor",,Up to 300 h (3G),0.22 W/kg (head)     0.41 W/kg (body),Up to 8 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
verykool,verykool s5037 Apollo Quattro,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5037.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2018, February","Available. Released 2018, February",144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in),163 g (5.75 oz),,Dual SIM (Nano-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,,"Dual-LED flash, panorama",1080p@30fps,,LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer","Li-Po 2000 mAh, non-removable",,"Black, Blue, Gold",,,Scratch-resistant glass,,,,,,,,,,,"13 MP, AF 2 MP, (depth)",,,"5 MP 2 MP, depth sensor",,Up to 240 h (3G),0.25 W/kg (head)     0.56 W/kg (body),Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
verykool,verykool s5036 Apollo,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5036.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2018, February","Available. Released 2018, February",144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in),163 g (5.75 oz),,Dual SIM (Nano-SIM/ Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 7.0 (Nougat),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,,"Dual-LED flash, panorama",1080p@30fps,5 MP,LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer","Li-Po 2000 mAh, removable",,"Black, Blue, Gold",,,Scratch-resistant glass,,,,,,,,,,,"8 MP, AF 2 MP, (depth)",,,,,Up to 240 h (3G),0.25 W/kg (head)     0.56 W/kg (body),Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
verykool,verykool s5200 Orion,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5204-.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2017, December","Available. Released 2017, December",148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in),164 g (5.78 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~67.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~188 ppi density)",,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,16GB 1GB RAM,,"LED flash, panorama",Yes,"8 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer","Li-Ion 2000 mAh, removable",,"Black, Gold, Blue",,,Scratch-resistant glass,,,,,,,,,,,,5 MP,,,,Up to 216 h (3G),,Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
verykool,verykool s5031 Bolt Turbo,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5031.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2017, November","Available. Released 2017, November",145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in),145 g (5.11 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC,16GB 2GB RAM,,"LED flash, panorama",1080p@30fps,"8 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Li-Ion 2000 mAh battery,,"Gold, Blue",,,Scratch-resistant glass,,,,,,,,,,,,8 MP,,,,Up to 240 h (3G),,Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
verykool,verykool sl5029 Bolt Pro LTE,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5029.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.0,HSDPA 850 / 900 / 1900 / 2100,"2, 4, 5, 7",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, November","Available. Released 2017, November",144.8 x 72 x 9.6 mm (5.70 x 2.83 x 0.38 in),142 g (5.01 oz),,"Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,Mali-T720,microSDXC,8GB 1GB RAM,,"LED flash, panorama",1080p@30fps,"8 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",Li-Ion 2000 mAh battery,,"Black, Gold, Silver",,,Scratch-resistant glass,,,,,,,,,,,,5 MP,,,,Up to 240 h (3G),,Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
verykool,verykool s5029 Bolt Pro,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5029.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2017, November","Available. Released 2017, November",145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in),145 g (5.11 oz),,"Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,,"LED flash, panorama",1080p@30fps,8 MP,LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",Li-Ion 2000 mAh battery,,"Black, Gold, Blue",,,Scratch-resistant glass,,,,,,,,,,,,5 MP,,,,Up to 240 h (3G),,Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
verykool,verykool s5205 Orion Pro,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5205.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2017, November","Available. Released 2017, November",148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in),164 g (5.78 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~67.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~188 ppi density)",,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,16GB 1GB RAM,,"LED flash, panorama",1080p@30fps,"8 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",Li-Ion 2000 mAh battery,,"Black, Gold, Blue",,,Scratch-resistant glass,,,,,,,,,,,,8 MP,,,,Up to 216 h (3G),,Up to 5 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
verykool,verykool s6005X Cyprus Pro,https://fdn2.gsmarena.com/vv/bigpic/verykool-s6005x.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1700(AWS) / 1900,,,HSPA 21.1/5.76 Mbps,"2017, November","Available. Released 2017, November",166 x 85.3 x 9 mm (6.54 x 3.36 x 0.35 in),165 g (5.82 oz),,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~70.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,16GB 1GB RAM,,"LED flash, panorama",1080p@30fps,"13 MP, f/2.2, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 3000 mAh battery,,"Gray, Gold",,,Asahi Dragontrail Glass,,,,,,,,,,,,"8 MP, f/2.8",,,,Up to 264 h (3G),,Up to 8 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
verykool,verykool s5527 Alpha Pro,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5527.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1700(AWS) / 1900 / 900,,,HSPA 21.1/5.76 Mbps,"2017, August","Available. Released 2017, August",152.9 x 76.8 x 8.2 mm (6.02 x 3.02 x 0.32 in),148 g (5.22 oz),,"Dual SIM (Micro-SIM/Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,16GB 1GB RAM,,"LED flash, panorama",1080p@30fps,"13 MP, f/2.2, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2800 mAh, removable",,Black,,,Scratch-resistant glass,,,,,,,,,,,,"8 MP, f/2.8",,,,Up to 288 h (3G),0.49 W/kg (head)     1.27 W/kg (body),Up to 9 h (3G),,,,,,,,,,,,,,,,,,,,,,,,,,
