Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
vivo,vivo Watch,https://fdn2.gsmarena.com/vv/bigpic/vivo-watch-2020.jpg,No cellular connectivity,N/A,5ATM water resistant 50m water resistant,N/A,N/A,,No,"2020, September 23","Coming soon. Exp. release 2020, September 28",46 x 46 x 10.6 mm (1.81 x 1.81 x 0.42 in),46.8 g (1.66 oz),"Glass front, stainless steel frame 316L",No,"AMOLED capacitive touchscreen, 16M colors","1.39 inches, 12.5 cm2 (~59.2% screen-to-body ratio)","454 x 454 pixels, 1:1 ratio (~326 ppi density)",eMMC,,,,,No,2GB,,,,,,,Yes,No,No,No,"5.0, A2DP, LE","Yes, with GLONASS, GALILEO, BDS",Yes,No,No,"Accelerometer, gyro, heart rate, barometer, compass, altimeter, SpO2","Li-Ion 478 mAh, non-removable",Wireless charging 10W,"Black, Brown, Dark Brown, Orange",,About 200 EUR,,,,,,,,,,,,,,,,,,,,,,No,No,,,No,No,"Email, IM",No,No,,,,,,,,,,,,,,,
vivo,vivo V20 SE,https://fdn2.gsmarena.com/vv/bigpic/vivo-v20se.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 24","Coming soon. Exp. release 2020, September",161 x 74.1 x 7.8 mm (6.34 x 2.92 x 0.31 in),171 g (6.03 oz),,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.44 inches, 100.1 cm2 (~83.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,"Android 10, Funtouch 11",Qualcomm SDM665 Snapdragon 665 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC,128GB 8GB RAM,,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"32 MP, f/2.0, (wide), 1/2.8"", 0.8µm",HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4100 mAh, non-removable","Fast charging 33W, 62% in 30 min (advertised)","Gravity Black, Oxygen Blue",,About 250 EUR,,"48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 16mm (ultrawide), 1/4.0"", 1.12µm, AF 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vivo,vivo V20 Pro,https://fdn2.gsmarena.com/vv/bigpic/vivo-v20-pro.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HDR10,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 4, 5, 7, 8, 28, 34, 38, 39, 40, 41","1, 3, 41, 77, 78 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, September 22","Coming soon. Exp. release 2020, September 30",158.8 x 74.2 x 7.4 mm (6.25 x 2.92 x 0.29 in),170 g (6.00 oz),,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.44 inches, 100.1 cm2 (~85.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",24-bit/192kHz audio,"Android 10, Funtouch 11",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,No,128GB 8GB RAM,,"Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS",,HDR,"4K@30fps, 1080p@30fps, gyro-EIS",Yes,No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",Fast charging 33W,"Sunset Melody, Midnight Jazz, Moonlight Sonata",,About 410 EUR,,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth)",,,,,,,,,,"44 MP, f/2.0, (wide) 8 MP, f/2.3 (ultrawide), 1/4.0"", 1.12µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vivo,vivo Y51,https://fdn2.gsmarena.com/vv/bigpic/vivo-y51-2020.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 40",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 15","Available. Released 2020, September 19",159.3 x 75.2 x 8.7 mm (6.27 x 2.96 x 0.34 in),186.7 g (6.60 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.38 inches, 99.9 cm2 (~83.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)",,"Android 10, Funtouch 10",Qualcomm SDM665 Snapdragon 665 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (uses shared SIM slot),128GB 4GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 120˚, (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","16 MP, f/2.0, (wide), 1/3.06"" 1.0µm",HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable",Fast charging 18W,"Mystic Black, Jazzy Blue, Dreamy White",,About 180 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vivo,vivo Y20i,https://fdn2.gsmarena.com/vv/bigpic/vivo-y20.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, August 26","Available. Released 2020, September 03",164.4 x 76.3 x 8.4 mm (6.47 x 3.00 x 0.33 in),192.3 g (6.77 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.51 inches, 102.3 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"Android 10, Funtouch 10.5",Qualcomm SM4250 Snapdragon 460 (11 nm),Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,microSDXC (dedicated slot),64GB 3GB RAM,,"LED flash, HDR",1080p@30fps,"8 MP, (wide)",,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable",Fast charging 18W,"Dawn White, Nebula Blue",,"₹ 11,490",,"13 MP, f/1.8, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₹ 11,490",,,,,,,
vivo,vivo Y20,https://fdn2.gsmarena.com/vv/bigpic/vivo-y20.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, August 26","Available. Released 2020, August 28",164.4 x 76.3 x 8.4 mm (6.47 x 3.00 x 0.33 in),192.3 g (6.77 oz),"Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.51 inches, 102.3 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"Android 10, Funtouch 10.5",Qualcomm SM4250 Snapdragon 460 (11 nm),Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,microSDXC (dedicated slot),64GB 4GB RAM,,"LED flash, HDR",1080p@30fps,"8 MP, (wide)",,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable",Fast charging 18W,"Obsidian Black, Dawn White",,"₹ 12,990",,"13 MP, f/1.8, (wide), PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₹ 12,990",,,,,,,,,,,,
vivo,vivo iQOO 5 Pro 5G,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-5-pro.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41","1, 3, 28, 38, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, August 17","Available. Released 2020, August 24",159.6 x 73.3 x 8.9 mm (6.28 x 2.89 x 0.35 in),198 g (6.98 oz),,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.56 inches, 104.6 cm2 (~89.4% screen-to-body ratio)",1080 x 2376 pixels (~398 ppi density),HDR10+ 120Hz refresh rate,"Android 10, IQOO UI 1.5",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,No,"256GB 8GB RAM, 256GB 12GB RAM",,"Dual-LED flash, HDR, panorama","8K, 4K@30fps, 1080p@30fps, gyro-EIS","16 MP, f/2.5, (wide)",Panorama,1080p@30fps,Yes,No,32-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO",Yes,No,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable","Fast charging 120W, 50% in 5 min, 100% in 15 min (advertised) Reverse charging","White, Black",,About 610 EUR,,"50 MP, f/1.9, (wide), 1/1.31"", 1.2µm, Dual Pixel PDAF, OIS 8 MP, f/3.4, 135mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom 13 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vivo,vivo iQOO 5 5G,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-5-5g.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41","1, 3, 28, 38, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, August 17","Available. Released 2020, August 24",160 x 75.6 x 8.3 mm (6.30 x 2.98 x 0.33 in),197 g (6.95 oz),,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.56 inches, 104.6 cm2 (~86.5% screen-to-body ratio)",1080 x 2376 pixels (~398 ppi density),HDR10+ 120Hz refresh rate,"Android 10, IQOO UI 1.5",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM","50 MP, f/1.9, (wide), 1/1.31"", 1.2µm, Dual Pixel PDAF 13 MP, f/2.5, 50mm (portrait), 1/2.8"", 0.8µm, PDAF, 2x optical zoom 13 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm","Dual-LED flash, HDR, panorama","8K, 4K@30fps, 1080p@30fps, gyro-EIS","16 MP, f/2.5, (wide)",Panorama,1080p@30fps,Yes,No,32-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO",Yes,No,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","Fast charging 55W, 100% in 50 min (advertised) Reverse charging","Blue, Gray",,$ 590.98,,,,,,,,,$ 590.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vivo,vivo S1 Prime,https://fdn2.gsmarena.com/vv/bigpic/vivo-x50-lite.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,UFS 2.1,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/150 Mbps","2020, August 12","Available. Released 2020, August 12",159.3 x 75.2 x 8.7 mm (6.27 x 2.96 x 0.34 in),190.2 g (6.70 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.38 inches, 99.9 cm2 (~83.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density)",,"Android 9.0 (Pie), Funtouch 9.2",Qualcomm SDM665 Snapdragon 665 (11 nm),Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,microSDXC (uses shared SIM slot),128GB 8GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, (wide), 1/3.06"" 1.0µm",HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,FM radio,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable",Fast charging 18W,"Nebula Blue, Jade Black",V1937,About 240 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vivo,vivo S7 5G,https://fdn2.gsmarena.com/vv/bigpic/vivo-s7.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 4, 5, 8, 34, 38, 39, 40, 41","1, 3, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, August 03","Available. Released 2020, August 08",158.8 x 74.2 x 7.4 mm (6.25 x 2.92 x 0.29 in),170 g (6.00 oz),,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.44 inches, 100.1 cm2 (~85.0% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",UFS 2.1,"Android 10, Funtouch 10.5",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,No,"128GB 8GB RAM, 256GB 8GB RAM",,"Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS",,HDR,"4K@30/60fps, 1080p@30/240fps",Yes,No,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,Unspecified,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",Fast charging 33W,"Black, White, Gradient Blue",V2020A,About 340 EUR,,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.2, 120˚, 16mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth)",,,,,,,,,,"44 MP, f/2.0, (wide) 8 MP, f/2.3, 105˚ (ultrawide)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
