Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
vk_mobile,VK Mobile VK2030,https://fdn2.gsmarena.com/vv/bigpic/vk-2030.jpg,GSM,GSM 900 / 1800 / 1900,Downloadable pictures and animations,,,,,"2007, December. Released 2008, September",Discontinued,107 x 48 x 11.7 mm (4.21 x 1.89 x 0.46 in),,,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~19.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,,,,microSD (dedicated slot),256MB,,,No,1.3 MP,,,No,No,MP3/AAC player Predictive text input Organizer Voice memo,No,1.2,No,,No,1.1,,Removable Li-Ion 710 mAh battery,,White,,About 70 EUR,,,,,,,,,,,,,,,,,Up to 150 h,,Up to 3 h,,,Class 10,No,,,"Yes, Photocall","50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS, Email",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, Real tones ringtones",
vk_mobile,VK Mobile VK2200,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2200.gif,GSM,GSM 900 / 1800 / 1900,GSM 850 / 1900 - US version,,,,,"2006, March",Discontinued,97.8 x 49.5 x 12.5 mm (3.85 x 1.95 x 0.49 in),74 g (2.61 oz),,Mini-SIM,"TFT, 260K colors","1.66 inches, 8.7 cm2 (~17.9% screen-to-body ratio)",176 x 220 pixels (~170 ppi density),Downloadable pictures and animations,,,,,No,128MB,,,Yes,4 MP,,,No,No,MP3/AAC/AAC+ player Predictive text input Organizer Voice memo,No,Yes,No,,No,1.1,,Removable Li-Ion battery,,Silver,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,1000 entries,"50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK7000,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk7000.gif,GSM / UMTS,GSM 900 / 1800 / 1900,Downloadable pictures and animations,UMTS 2100,,,"Yes, 384 kbps","2006, March",Cancelled,105 x 48 x 9.9 mm (4.13 x 1.89 x 0.39 in),,,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2 (~20.2% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),Video telephony & streaming MP3/AAC/AAC+ player Predictive text input Organizer,,,,,microMMC,,,,QCIF,1.3 MP,,,Yes,No,,No,Yes,No,,No,2.0,,Removable Li-Ion battery,,Black,,,,,,,,,,,,,,,VGA videocall camera,,,,,,,,,,,,,"Yes, Photo call","50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS, Email",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK5000,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk5000.gif,GSM,GSM 900 / 1800 / 1900,GSM 850 / 1900 - US version,,,,,"2006, March",Cancelled,91.8 x 50 x 9.9 mm (3.61 x 1.97 x 0.39 in),,,Mini-SIM,"OLED, 256K colors","1.5 inches, 24 x 29 mm, 7.1 cm2 (~15.4% screen-to-body ratio)",128 x 160 pixels (~137 ppi density),Downloadable pictures and animations,,,,,No,128MB,,,QCIF,1.3 MP,,,No,No,MP3/AAC/AAC+ player Predictive text input Organizer PC Sync,No,Yes,No,,No,No,,Removable Li-Ion battery,,Silver,,,,,,,,,,,,,,,,,,,,,,,,Class 10,Yes,,,"Yes, Photo call","50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS, Email",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK300,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk300.gif,GSM,GSM 900 / 1800,"Second external STN display, 256K colors, 80 x 80 pixels",,,,,"2005, July",Discontinued,79.5 x 42.5 x 21.5 mm (3.13 x 1.67 x 0.85 in),75 g (2.65 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~30.2% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,,,,No,,,,,,,,No,No,3D GUI eZi(iTAP) Organizer,No,No,No,,No,No,,Removable Li-Ion 720 mAh battery,,"Silver-black, Gold",,,,,,,,,,,,,,,,,,,Up to 125 h,,Up to 3 h,,,Class 10,No,,,Yes,"20 dialed, 20 received,20 missed calls","SMS, EMS, MMS",Yes,No,WAP 1.2.1,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MIDI ringtones",
vk_mobile,VK Mobile VK4000,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4000.gif,GSM,GSM 850 / 900 / 1800 / 1900,Downloadable pictures and animations,,,,,"2006, March",Discontinued,85 x 43 x 21 mm (3.35 x 1.69 x 0.83 in),79 g (2.79 oz),,Mini-SIM,"TFT, 256K colors","1.8 inches, 29 x 35 mm, 10.2 cm2 (~27.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,,,,Yes,128MB,,,No,VGA,,,No,No,MP3/AAC player Predictive text input Organizer Stopwatch PC Sync,No,Yes,No,,No,Proprietary,,Removable Li-Ion battery,,Black,,About 60 EUR,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"Yes, Photo call","50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",
vk_mobile,VK Mobile VK4100,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4100.gif,GSM,GSM 900 / 1800 / 1900,Downloadable pictures and animations,,,,,"2006, March",Cancelled,104 x 52 x 25.9 mm (4.09 x 2.05 x 1.02 in),,,Mini-SIM,"TFT, 256K colors","1.8 inches, 10.2 cm2 (~18.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,,,,,Yes,128MB,,,No,VGA,,,No,No,MP3/AAC player Predictive text input Organizer Stopwatch PC Sync,No,Yes,No,,No,Proprietary,,Removable Li-Ion battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"Yes, Photo call","50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",
vk_mobile,VK Mobile VK2020,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2020.gif,GSM,GSM 900 / 1800 / 1900,GSM 850 / 1900 - US version,,,,,"2006, February",Discontinued,95 x 47 x 8.8 mm (3.74 x 1.85 x 0.35 in),53 g (1.87 oz),,Mini-SIM,"OLED, 256K colors",,128 x 160 pixels,Downloadable pictures and animations,,,,,No,64MB,,,,,,,No,No,MP3/AAC player Predictive text input Organizer Voice memo,No,Yes,No,,No,1.1,,Removable Li-Ion battery,,Black,,About 50 EUR,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,1000 entries,"50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK200,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk200.gif,GSM,GSM 900 / 1800,Downloadable pictures and animations,,,,,"2006, February",Discontinued,105 x 48 x 11 mm (4.13 x 1.89 x 0.43 in),,,Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 1:1 ratio",No,,,,,microSD (dedicated slot),20MB,,,Yes,VGA,,,No,No,MP3/AAC player Predictive text input Unit convertor Calculator Stopwatch,No,No,No,,No,Proprietary,,Removable Li-Ion battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"Yes, Photo call","50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK4500,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4500.gif,GSM,GSM 850 / 900 / 1800 / 1900,Downloadable pictures and animations,,,,,"2005, Q4",Discontinued,98 x 49 x 16.9 mm (3.86 x 1.93 x 0.67 in),86 g (3.03 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 31 x 39 mm, 12.6 cm2 (~26.2% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),No,,,,,No,100MB,,,Yes,1.3 MP,,,No,No,MP3/AAC player Predictive text input Organizer Stopwatch World time,No,Yes,No,,No,Proprietary,,Removable Li-Ion 620 mAh battery,,,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"Yes, Photo call","50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",
vk_mobile,VK Mobile VK3100,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk3100.gif,GSM,GSM 850 / 900 / 1800 / 1900,"Second 1-inch external CSTN display, 65K colors (96x96 pixels)  Downloadable pictures and animations",,,,,"2005, Q4",Discontinued,98 x 54 x 14.9 mm (3.86 x 2.13 x 0.59 in),82 g (2.89 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 35 x 44 mm, 15.2 cm2 (~28.8% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),No,,,,,microSD (dedicated slot),54MB,,,Yes,VGA,,,No,No,MP3/AAC player Predictive text input Organizer Stopwatch World time,No,Yes,No,,No,Proprietary,,Removable Li-Ion 720 mAh battery,,"Silver, Black, Pink",,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"Yes, Photo call","50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",
vk_mobile,VK Mobile VK2100,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2100.gif,GSM,GSM 900 / 1800 / 1900,Downloadable pictures and animations,,,,,"2005, Q4",Cancelled,93 x 49 x 9.3 mm (3.66 x 1.93 x 0.37 in),48 g (1.69 oz),,Mini-SIM,"OLED, 256K colors",,128 x 160 pixels,No,,,,,No,2GB,,,,,,,No,No,MP3 player Predictive text input Organizer,No,Yes,No,,No,Proprietary,,Removable Li-Ion 790 mAh battery,,Black,,,,,,,,,,,,,,,,,,,Up to 150 h,,Up to 3 h,,,Class 10,No,,,1000 entries,"50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",
vk_mobile,VK Mobile VK2010,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2010.gif,GSM,GSM 900 / 1800 / 1900,Downloadable pictures and animations,,,,,"2005, Q4",Discontinued,90 x 50 x 8.8 mm (3.54 x 1.97 x 0.35 in),50 g (1.76 oz),,Mini-SIM,"OLED, 256K colors",,128 x 160 pixels,No,,,,,No,64/128MB,,,,,,,No,No,MP3 player Predictive text input Organizer,No,Yes,No,,No,Proprietary,,Removable Li-Ion 790 mAh battery,,"Silver, Pink, Black",,,,,,,,,,,,,,,,,,,Up to 150 h,,Up to 3 h,,,Class 10,No,,,1000 entries,"50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",
vk_mobile,VK Mobile VK1500,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1500.gif,GSM,GSM 850 / 900 / 1800 / 1900,"Second external OLED display, 65K colors (96 x 64 pixels) Downloadable pictures",,,,,"2005, Q4",Cancelled,89 x 46 x 23 mm (3.50 x 1.81 x 0.91 in),86 g (3.03 oz),,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,No,,,,,No,100MB,,,No,1.3 MP,,,No,No,MP3/AAC player Predictive text input Organizer Stopwatch World time,No,Yes,No,,No,Proprietary,,Removable Li-Ion 940 mAh battery,,Black,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"Yes, Photocall","50 dialed, 50 received, 50 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK1100,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1100.gif,GSM,GSM 900 / 1800,"Second external CSTN display, 65K colors (96 x 64 pixels) Downloadable pictures",,,,,"2006, February",Cancelled,76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),71.4 g (2.50 oz),,Mini-SIM,"CSTN, 65K colors",,128 x 143 pixels,No,,,,,No,,,,No,VGA,,,No,No,MP3 player Predictive text input Organizer PC Sync,No,No,No,,No,,,Removable Li-Ion battery,,"Pastel Pink, Black",,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"Yes, Photocall","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK1020,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1020.gif,GSM,GSM 850 / 900 / 1800 / 1900,"Second external CSTN display, 65K colors (96 x 64 pixels) Downloadable pictures",,,,,"2005, Q4",Discontinued,76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),,,Mini-SIM,"STN, 65K colors",,128 x 143 pixels,No,,,,,microSD (dedicated slot),,,,No,VGA,,,No,No,MP3 player Predictive text input Organizer,No,No,No,,No,,,Removable Li-Ion battery,,"Silver, Purple",,,,,,,,,,,,,,,,,,,,,,,Yes,Class 10,No,,,"Yes, Photocall","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK1010,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1010.gif,GSM,GSM 850 / 900 / 1800 / 1900,"Second external CSTN display, 65K colors (96 x 64 pixels) Downloadable pictures",,,,,"2005, Q4",Discontinued,76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),,,Mini-SIM,"STN, 65K colors",,128 x 143 pixels,No,,,,,microSD (dedicated slot),,,,No,VGA,,,No,No,MP3 player Predictive text input Organizer,No,No,No,,No,,,Removable Li-Ion battery,,"Green, Red",,,,,,,,,,,,,,,,,,,,,,,Yes,Class 10,No,,,"Yes, Photocall","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK1000,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1000.gif,GSM,GSM 850 / 900 / 1800 / 1900,"Second external CSTN display, 65K colors (96 x 64 pixels) Downloadable pictures",,,,,"2005, Q4",Discontinued,76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),,,Mini-SIM,"STN, 65K colors",,128 x 143 pixels,No,,,,,microSD (dedicated slot),,,,No,VGA,,,No,No,MP3 player Predictive text input Organizer,No,No,No,,No,,,Removable Li-Ion battery,,"Pink, Orange, Black",,,,,,,,,,,,,,,,,,,,,,,Yes,Class 10,No,,,"Yes, Photocall","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK2000,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2000.gif,GSM,GSM 900 / 1800,GSM 850 / 1900 - US version,,,,,"2005, Q3",Discontinued,89.9 x 49.9 x 8.8 mm (3.54 x 1.96 x 0.35 in),48 g (1.69 oz),,Mini-SIM,"STN, 65K colors",,128 x 143 pixels,Downloadable pictures and animations,,,,,No,,,,,,,,No,No,Predictive text input Organizer Stopwatch,No,No,No,,No,No,,Removable Li-Po (VKST-2000),,Black,,,,,,,,,,,,,,,,,,,Up to 72 h,,Up to 2 h,,,Class 10,No,,,500 entries,"10 dialed, 10 received, 10 missed calls","SMS, EMS",1 - Bulbmon,No,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable monophonic ringtones,
vk_mobile,VK Mobile E100,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-e100.gif,GSM,GSM 900 / 1800 / 1900,"Second external display, 65K colors (96 x 64 pixels)",,,,,"2005, Q3",Discontinued,85 x 44 x 21 mm (3.35 x 1.73 x 0.83 in),88 g (3.10 oz),,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,No,,,,,No,64MB,,,Yes,1.3 MP,,,No,No,Predictive text input MP3 player Organizer,No,No,No,,No,,,Removable Li-Ion battery,,"Silver, Blue, White",,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,Yes,WAP,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK570,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk570.gif,GSM,GSM 900 / 1800,"Second external CSTN display, 65K colors (96 x 64 pixels)",,,,,"2005, Q3",Discontinued,76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),75 g (2.65 oz),,Mini-SIM,"CSTN, 65K colors",,128 x 143 pixels,No,,,,,No,,,,No,VGA,,,No,No,Predictive text input Organizer Bio Rhythm,No,No,No,,No,,,Removable Li-Ion battery,,"Black, Silver",,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,WAP 1.2.1,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK700,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk700.gif,GSM,GSM 900 / 1800,No,,,,,"2005, Q2",Discontinued,89 x 45.5 x 26 mm (3.50 x 1.79 x 1.02 in),93 g (3.28 oz),,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,MP4/MP3 player Funny photo transformation application  Predictive text input,,,,,No,64MB,,LED flash,Yes,1.3 MP,,,No,No,,No,No,No,,No,Proprietary,,Removable Li-Ion 810 mAh battery,,"Silver, Blue",,,,,,,,,,,,,,,,,,,Up to 200 h,,Up to 3 h,,Yes,Class 10,No,,,"500 entries, Photo call","20 dialed, 20 received, 20 missed calls, 20 temp calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK900,https://fdn2.gsmarena.com/vv/bigpic/vk900.gif,GSM,GSM 900 / 1800 / 1900,Screensaver Downloadable pictures,,,,,"2004, Q4",Discontinued,90 x 45 x 24.5 mm (3.54 x 1.77 x 0.96 in),102 g (3.60 oz),,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,No,,,,,MiniSD,60MB,,LED flash,Yes,1.3 MP,,,No,No,IrRC (Remote Control Function) MP3 player Funny photo transformation application  Predictive text input Organizer,No,No,No,,No,Proprietary,,Removable Li-Ion 880 mAh battery,,"Silver, Black, White",,,,,,,,,,,,,,,,,,,Up to 200 h,,Up to 4 h,,Yes,Class 10,No,,,"500 entries, Photo call","20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK800,https://fdn2.gsmarena.com/vv/bigpic/vk800.gif,GSM,GSM 900 / 1800,Second external display 65K colors (96 x 64 pixels),,,,,"2005, Q1",Discontinued,79 x 44 x 23.7 mm (3.11 x 1.73 x 0.93 in),79 g (2.79 oz),,Mini-SIM,"TFT, 256K colors",,128 x 143 pixels,No,,,,,No,,,,Yes,1.3 MP,,,No,No,MP3 player Organizer,No,No,No,,No,Proprietary,,Removable Li-Ion 720 mAh battery,,"White, Silver, Red",,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,"500 entries, Photo call","20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",WAP 2.0/xHTML,,,,,,,,,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",
vk_mobile,VK Mobile VK530,https://fdn2.gsmarena.com/vv/bigpic/vk530.gif,GSM,GSM 900 / 1800,GSM 850 / 1900 - US version,,,,,"2004, Q3",Discontinued,76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),75 g (2.65 oz),,Mini-SIM,"STN, 65K colors",,128 x 143 pixels,"Second external STN display, 65K colors (96 x 64 pixels)",,,,,No,,,,No,VGA,,,No,No,Predictive text input PC Sync  Biorhythm Organizer,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,,"Pink, Lilac",,,,,,,,,,,,,,,,,,,,,,,,Class 8,No,,,400 entries,"20 dialed, 20 received, 20 missed calls","SMS, EMS, MMS",Yes,No,WAP 1.2.1,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK610,https://fdn2.gsmarena.com/vv/bigpic/vk610.gif,GSM,GSM 900 / 1800,No,,,,,"2004, Q3",Discontinued,84 x 43 x 22.5 mm (3.31 x 1.69 x 0.89 in),83.5 g (2.93 oz),,Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,Predictive text input Organizer,,,,,No,,,LED flash,No,VGA,,,No,No,,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,,"Dark Blue, Orange",,,,,,,,,,,,,,,,,,,Up to 150 h,,Up to 4 h,,,Class 8,No,,,500 entries,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,WAP 2.0/xHTML,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK580,https://fdn2.gsmarena.com/vv/bigpic/vk580.gif,GSM,GSM 900 / 1800,"Second external CSTN display, 65K colors (96 x 64 pixels)",,,,,"2004, Q3",Discontinued,76 x 44 x 19 mm (2.99 x 1.73 x 0.75 in),75 g (2.65 oz),,Mini-SIM,"CSTN, 65K colors",,128 x 143 pixels,No,,,,,No,,,,No,VGA,,,No,No,Predictive text input Organizer Bio Rhythm,No,No,No,,No,,,Removable Li-Ion battery,,Silver,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,WAP 1.2.1,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
vk_mobile,VK Mobile VK560,https://fdn2.gsmarena.com/vv/bigpic/vk560.gif,GSM,GSM 900 / 1800,"Second external CSTN display, 65K colors (96 x 64 pixels)",,,,,"2004, Q3",Discontinued,76 x 44 x 19 mm (2.99 x 1.73 x 0.75 in),75 g (2.65 oz),,Mini-SIM,"CSTN, 65K colors",,128 x 143 pixels,No,,,,,No,,,,No,VGA,,,No,No,Predictive text input Organizer Bio Rhythm,No,No,No,,No,,,Removable Li-Ion battery,,Silver,,,,,,,,,,,,,,,,,,,,,,,,Class 10,No,,,Yes,"10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,No,WAP 1.2.1,,,,,,,,,,,,,Vibration; Downloadable polyphonic ringtones,
