Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM,Alert types,Languages
wiko,Wiko Y80,https://fdn2.gsmarena.com/vv/bigpic/wiko-y80.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, April","Available. Released 2019, April",160 x 76.5 x 8.6 mm (6.30 x 3.01 x 0.34 in),185 g (6.53 oz),,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~75.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",,Android 9.0 Pie,Unisoc SC9863A (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,microSDXC,16GB 2GB RAM,,"LED flash, HDR, panorama",1080p@30fps,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Po 4000 mAh, non-removable",,,,About 80 EUR,,,,,,,,,,,,"13 MP, AF 2 MP",,,,,,,,,,,,0.49 W/kg (head)     1.35 W/kg (body),,,,,,,,,,,,,,,,,,,,,"Dark Blue, Bleen, Gold"
wiko,Wiko Sunny3,https://fdn2.gsmarena.com/vv/bigpic/wiko-sunny3.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2019, Q1","Available. Released 2019, Q1",146.7 x 74 x 10 mm (5.78 x 2.91 x 0.39 in),140 g (4.94 oz),,"Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 8.0 Oreo (Go edition),,Quad-core 1.3 GHz Cortex-A7,Mali-T820 MP1,microSDXC,8GB 512MB RAM,,"LED flash, HDR, panorama",720p@30fps,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",,,,,,,,,,,,,,,,,2 MP,,,,,,,,,,,0.48 W/kg (head)     1.80 W/kg (body),,,,,,,,,,,,,,,,,,,,,"Anthracite, Gold, Silver, Bleen, Cherry Red"
wiko,Wiko View3 Pro,https://fdn2.gsmarena.com/vv/bigpic/wiko-view3-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20, 28, 40",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/150 Mbps","2019, February","Available. Released 2019, May",159.5 x 75 x 8.1 mm (6.28 x 2.95 x 0.32 in),184 g (6.49 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 97.4 cm2 (~81.4% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",,Android 9.0 (Pie),Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC (uses shared SIM slot),128GB 6GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm, PDAF",HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",,"Nightfall (Anthracite Blue/Gold), Ocean (Deep Bleen)",,About 250 EUR,,"12 MP, 27mm (wide), 1/2.9"", 1.25µm, PDAF 13 MP, 16mm (ultrawide) 5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,0.61 W/kg (head)     1.50 W/kg (body),,,,,,,,,,,,,,,,,,,,,
wiko,Wiko View3,https://fdn2.gsmarena.com/vv/bigpic/wiko-view-3.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20, 28, 40",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, February","Available. Released 2019, May",159 x 76.5 x 8.2 mm (6.26 x 3.01 x 0.32 in),178 g (6.28 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~80.4% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~269 ppi density)",,Android 9.0 (Pie),Mediatek MT6762WB Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,microSDXC (uses shared SIM slot),64GB 3GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, PDAF",HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",,"Night Blue (Anthracite Blue), Blush Gold, Electro Bleen",,About 180 EUR,,"12 MP, 27mm (wide), 1/2.9"", 1.25µm, PDAF 13 MP, 16mm (ulrawide) 2 MP, (depth)",,,,,,,,,,,,,,,,,,,,,,0.25 W/kg (head)     1.09 W/kg (body),,,,,,,,,,,,,,,,,,,,,
wiko,Wiko View2 Go,https://fdn2.gsmarena.com/vv/bigpic/wiko-view2-go.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 20",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2018, September","Available. Released 2018, September",153.6 x 73.1 x 8.5 mm (6.05 x 2.88 x 0.33 in),160 g (5.64 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.93 inches, 88.1 cm2 (~78.4% screen-to-body ratio)","720 x 1512 pixels, 19:9 ratio (~282 ppi density)",,Android 8.1 (Oreo),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),32GB 3GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"12 MP, 1/2.9"", 1.25μm, PDAF",HDR,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",Yes (optional),FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",,"Anthracite, Gold, Cherry Red, Deep Bleen, Supernova",View2 Go,,,,,,,,,,,,,,"5 MP, f/2.0",,,,,,,,,,,0.29 W/kg (head)     1.50 W/kg (body),,,,,,,,,,,,,,,,,,,,,
wiko,Wiko View2 Plus,https://fdn2.gsmarena.com/vv/bigpic/wiko-view2-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20, 40",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2018, September","Available. Released 2018, September",153.4 x 73.2 x 8.6 mm (6.04 x 2.88 x 0.34 in),166 g (5.86 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.93 inches, 88.1 cm2 (~78.4% screen-to-body ratio)","720 x 1512 pixels, 19:9 ratio (~282 ppi density)",,Android 8.1 (Oreo),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,microSDXC (uses shared SIM slot),64GB 4GB RAM,,"LED flash, panorama, HDR",1080p@60fps,"8 MP, f/2.0",Auto-HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",Yes (optional),FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",,"Anthracite, Gold, Supernova",,,,,,,,,,,,,,"12 MP, 1/2.9"", 1.25μm, PDAF 12 MP, 1/2.9"", 1.25μm, PDAF",,,,,,,,,,,,0.38 W/kg (head)     1.50 W/kg (body),,,,,,,,,,,,,,,,,,,,,
wiko,Wiko View Max,https://fdn2.gsmarena.com/vv/bigpic/wiko-view-max-.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 20",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2018, March","Available. Released 2018, March",157.8 x 75.8 x 7.9 mm (6.21 x 2.98 x 0.31 in),158 g (5.57 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~77.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",,Android 8.1 (Oreo),Mediatek MT6739WA (28 nm),Quad-core 1.3 GHz Cortex-A53,PowerVR GE8100,microSDXC,32GB 3GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"13 MP, PDAF",HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 4000 mAh, non-removable",,"Anthracite, Gold, Black","W_P200, W_P200CM",,,,,,,,,,,,,,8 MP,,,,,,,,,,,0.32 W/kg (head)     1.25 W/kg (body),,,,,,,,,,,,,,,,,,,,,
wiko,Wiko View2 Pro,https://fdn2.gsmarena.com/vv/bigpic/wiko-view2-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20",,"HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2018, February","Available. Released 2018, May",153 x 72.6 x 8.3 mm (6.02 x 2.86 x 0.33 in),164 g (5.78 oz),"Glass front (Gorilla Glass), aluminum back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 89.6 cm2 (~80.6% screen-to-body ratio)",720 x 1528 pixels (~282 ppi density),,Android 8.0 (Oreo),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,Adreno 506,microSDXC (uses shared SIM slot),64GB 4GB RAM,,"Dual-LED dual-tone flash, panorama",1080p@60fps,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",Yes,Stereo FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3000 mAh, non-removable",,"Black, Gold",W_C860,About 300 EUR,Corning Gorilla Glass,,,,,,,,,,,"16 MP, f/1.8, dual pixel PDAF 16 MP, f/1.8, dual pixel PDAF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiko,Wiko View2,https://fdn2.gsmarena.com/vv/bigpic/wiko-view2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 8, 20",,"HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2018, February","Available. Released 2018, May",154.5 x 72 x 8.3 mm (6.08 x 2.83 x 0.33 in),153 g (5.40 oz),"Glass front (Gorilla Glass), aluminum back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 89.6 cm2 (~80.5% screen-to-body ratio)",720 x 1528 pixels (~282 ppi density),,Android 8.0 (Oreo),Qualcomm MSM8940 Snapdragon 435 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),32GB 3GB RAM,,"LED flash, panorama",1080p@30fps,"13 MP, PDAF",,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",Yes,Stereo FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3000 mAh, non-removable",,"Anthracite, Gold, Grey",W_C800,About 200 EUR,Corning Gorilla Glass,,,,,,,,,,,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",,,,,,,,,,,0.43 W/kg (head)     1.33 W/kg (body),,,,,,,,,,,,,,,,,,,,,
wiko,Wiko View Prime,https://fdn2.gsmarena.com/vv/bigpic/wiko-vprm.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 20",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, September","Available. Released 2017, September",152.3 x 72.8 x 8.3 mm (6.00 x 2.87 x 0.33 in),162 g (5.71 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm2 (~75.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,Android 7.1 (Nougat),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC,64GB 4GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"16 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 3000 mAh, non-removable",,"Black, Gold, Deep Bleen, Cherry Red",,About 190 EUR,,,,,,,,,,,,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm 8 MP",,,,,,,,,,,,0.19 W/kg (head)     1.62 W/kg (body),,,,,,,,,,,,,,,,,,,,,
