Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser,64GB 6GB RAM,64GB 4GB RAM,256GB 8GB RAM,512GB 8GB RAM,128GB 4GB RAM,32GB 2GB RAM,64GB 3GB RAM,32GB 3GB RAM,512GB 12GB RAM,Five,16GB 2GB RAM,32GB 4GB RAM
xiaomi,Xiaomi Redmi 9i,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-9a-1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,270 nits typ. brightness (advertised),HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 8, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 15","Available. Released 2020, September 18",164.9 x 77.1 x 9 mm (6.49 x 3.04 x 0.35 in),194 g (6.84 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 102.9 cm2 (~81.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",eMMC 5.1,"Android 10, MIUI 12",MediaTek Helio G25 (12 nm),Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM",,"LED flash, HDR",1080p@30fps,"13 MP, f/2.2, 28mm (wide), 1.0µm, PDAF",HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable",Charging 10W,"Midnight Black, Sea Blue, Nature Green",,About 100 EUR,,,,,,,,,,,,,"5 MP, f/2.2, (wide), 1.12µm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xiaomi,Xiaomi Poco M2,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-m2-mzb9921in.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Water-repellent coating,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 8, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 08","Available. Released 2020, September 15",163.3 x 77 x 9.1 mm (6.43 x 3.03 x 0.36 in),198 g (6.98 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm2 (~83.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",400 nits typ. brightness (advertised),"Android 10, MIUI 11",Mediatek Helio G80 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 6GB RAM, 128GB 6GB RAM","13 MP, f/2.2, 28mm (wide), 1/3.1"", 1.12µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 27mm (wide), 1/4.0"", 1.12µm",HDR,1080p@30fps,Yes,Yes,eMMC 5.1,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,Wireless FM radio (no wired headphones required),"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable",Fast charging 18W,"Brick Red, Pitch Black, Slate Blue",MZB9919IN,About 130 EUR,Corning Gorilla Glass 3,,,,,,,,,,,,,,,,,0.85 W/kg (head)     0.42 W/kg (body),,,Yes,,,,,,,,,,,,,,,,,,,,,,
xiaomi,Xiaomi Poco X3,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-x3.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP53 splash-proof,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 8, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 22","Coming soon. Exp. release 2020, September 29",165.3 x 76.8 x 10.1 mm (6.51 x 3.02 x 0.40 in),225 g (7.94 oz),"Glass front (Gorilla Glass 5), aluminum frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm2 (~84.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",HDR10 120Hz refresh rate 450 nits typ. brightness (advertised),"Android 10, MIUI 12",Qualcomm SM7150-AC Snapdragon 732G (8 nm),Octa-core (2x2.3 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,microSDXC (uses shared SIM slot),"64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","64 MP, f/1.9, (wide), 1/1.73"", 0.8µm, PDAF 13 MP, f/2.2, 119˚ (ultrawide), 1.0µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps, 720p@960fps; gyro-EIS","20 MP, f/2.2, (wide), 1/3.4"", 0.8µm","HDR, panorama",1080p@30fps,"Yes, with stereo speakers",Yes,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",No,"FM radio, recording","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 6000 mAh, non-removable",Fast charging 33W,"Cobalt Blue, Shadow Gray","MZB07Z0IN, MZB07Z1IN, MZB07Z2IN, MZB07Z3IN, MZB07Z4IN, MZB9965IN",About 200 EUR,Corning Gorilla Glass 5,,,,,,,,,,,,,,,,,0.75 W/kg (head)     0.61 W/kg (body),,,Yes,,,,,,,,,,,,,,,,,,,,,,
xiaomi,Xiaomi Poco X3 NFC,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-x3-nfc.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP53 splash-proof,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, September 07","Available. Released 2020, September 08",165.3 x 76.8 x 9.4 mm (6.51 x 3.02 x 0.37 in),215 g (7.58 oz),"Glass front (Gorilla Glass 5), aluminum frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm2 (~84.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",HDR10 120Hz refresh rate 450 nits typ. brightness (advertised),"Android 10, MIUI 12",Qualcomm SM7150-AC Snapdragon 732G (8 nm),Octa-core (2x2.3 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,microSDXC (uses shared SIM slot),"64GB 6GB RAM, 128GB 6GB RAM","64 MP, f/1.9, (wide), 1/1.73"", 0.8µm, PDAF 13 MP, f/2.2, 119˚ (ultrawide), 1.0µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps, 720p@960fps; gyro-EIS","20 MP, f/2.2, (wide), 1/3.4"", 0.8µm","HDR, panorama",1080p@30fps,"Yes, with stereo speakers",Yes,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",Yes,"FM radio, recording","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5160 mAh, non-removable","Fast charging 33W, 62% in 30 min, 100% in 65 min (advertised)","Cobalt Blue, Shadow Gray","M2007J20CG, M2007J20CT",€ 229.00 / $ 229.00 / £ 234.35,Corning Gorilla Glass 5,,AnTuTu: 283750 (v8) GeekBench: 1777 (v5.1) GFXBench: 16fps (ES 3.1 onscreen),Contrast ratio: 1299:1 (nominal),Photo / Video,-25.3 LUFS (Very good),Endurance rating 125h,€ 269.00,,,,,,,,,,0.77 W/kg (head)     0.61 W/kg (body),,,Yes,,,0.56 W/kg (head)     0.99 W/kg (body),,,,,,,,€ 229.00,,,,,,,,,,,
xiaomi,Xiaomi Redmi 9 (India),https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-9-india.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Water-repellent coating,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, August 27","Available. Released 2020, August 31",164.9 x 77.1 x 9 mm (6.49 x 3.04 x 0.35 in),194 g (6.84 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 102.9 cm2 (~81.0% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",400 nits typ. brightness (advertised),"Android 10, MIUI 12",MediaTek Helio G35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM",,"LED flash, HDR",1080p@30fps,"5 MP, f/2.2, (wide), 1.12µm",HDR,1080p@30fps,Yes,Yes,eMMC 5.1,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable",Charging 10W,"Black, Sky Blue, Sporty Orange",,"₹ 8,999",,,,,,,,,,,,"13 MP, f/2.2, (wide), PDAF 2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,"₹ 8,999",,,,,,,,,,
xiaomi,Xiaomi Mi 10 Ultra,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-mi10-ultra.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 34, 38, 39, 40, 41","1, 3, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, August 11","Available. Released 2020, August 16",162.4 x 75.1 x 9.5 mm (6.39 x 2.96 x 0.37 in),221.8 g (7.83 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 6), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 1B colors","6.67 inches, 109.2 cm2 (~89.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~386 ppi density)",CDMA2000 1xEV-DO,"Android 10, MIUI 12",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM","48 MP, f/1.9, 25mm (wide), 1/1.32"", 1.2µm, PDAF, Laser AF, OIS 48 MP, f/4.1, 120mm (periscope telephoto), 1/2.0"", 0.8µm, PDAF, OIS, 5x optical zoom, 120x hybrid zoom 12 MP, f/2.0, 50mm (telephoto), 1/2.55"", 1.4µm, Dual Pixel PDAF, 2x optical zoom 20 MP, f/2.2, 128˚, 12mm (ultrawide), 1/2.8"", 1.0µm, PDAF","Dual-LED dual-tone flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS, HDR10 rec.","20 MP, f/2.3, (wide), 1/3.4"", 0.8µm",HDR,"1080p@30fps, 720p@120fps, gyro-EIS","Yes, with stereo speakers",No,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, DLNA, hotspot","5.1, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",Yes,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Li-Ion 4500 mAh, non-removable, graphene-enhanced","Fast charging 120W, 41% in 5 min, 100% in 23 min (advertised) Fast wireless charging 50W, 100% in 40 mins (advertised) Reverse wireless charging 10W Quick Charge 5, Quick Charge 4+ Power Delivery 3.0","Obsidian Black, Mercury Silver, Transparent Edition",M2007J1SC,$ 999.99,Corning Gorilla Glass 5,,,,Photo / Video,-24.6 LUFS (Very good),,,$ 999.99,"$ 1,149.99",,,,,,,,,,,Yes,,,,,,,,,,,,,"$ 1,049.99",,,,,,,,,
xiaomi,Xiaomi Redmi K30 Ultra,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-k30-ultra.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41","1, 3, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A; 5G","2020, August 11","Available. Released 2020, August 14",163.3 x 75.4 x 9.1 mm (6.43 x 2.97 x 0.36 in),213 g (7.51 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm2 (~87.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",CDMA2000 1xEV-DO,"Android 10, MIUI 12",Mediatek Dimensity 1000+ (7nm),Octa-core (4x2.6 GHz Cortex-A77 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF 13 MP, f/2.4, 119˚ (ultrawide), 1.12µm 5 MP, f/2.2, 50mm (telephoto macro), AF 2 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30/60/120/240/960fps; gyro-EIS","Motorized pop-up 20 MP, (wide)",HDR,"1080p@30fps, 720p@120fps","Yes, with stereo speakers",No,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS",Yes,Unspecified,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","Fast charging 33W, 100% in 58 min (advertised) Quick Charge 4+ Power Delivery","Moonlight White, Midnight Black, Mint Green",M2006J10C,$ 389.99,Corning Gorilla Glass 5,,,,,,,$ 389.99,$ 419.99,,,,,,,,,,,,Yes,,,,,,,,,,,,,,$ 469.99,,,,,,,,
xiaomi,Xiaomi Redmi 9 Prime,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-9.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Water-repellent coating,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 8, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, August 04","Available. Released 2020, August 06",163.3 x 77 x 9.1 mm (6.43 x 3.03 x 0.36 in),198 g (6.98 oz),"Glass front (Gorilla Glass 3), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm2 (~83.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",400 nits typ. brightness (advertised),"Android 10, MIUI 11",Mediatek Helio G80 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/2.2, 28mm (wide), 1/3.1"", 1.12µm, PDAF 8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 27mm (wide), 1/4.0"", 1.12µm",HDR,1080p@30fps,Yes,Yes,eMMC 5.1,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,Wireless FM radio (no wired headphones required),"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Li-Po 5020 mAh, non-removable",Fast charging 18W,"Space Blue, Mint Green, Matte Black, Sunrise Flare",,"₹ 9,999",Corning Gorilla Glass 3,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,"₹ 9,999",,,"₹ 11,999",,,,,,,
xiaomi,Xiaomi Black Shark 3S,https://fdn2.gsmarena.com/vv/bigpic/xiaomi-black-shark-3s.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41","41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A; 5G","2020, July 31","Available. Released 2020, August 04",168.7 x 77.3 x 10.4 mm (6.64 x 3.04 x 0.41 in),222 g (7.83 oz),"Glass front, aluminum back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm2 (~82.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",CDMA2000 1xEV-DO,Android 10,Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,No,"128GB 12GB RAM, 256GB 12GB RAM",,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/240fps, 720p@1920fps","20 MP, f/2.0, (wide), 1/3"", 0.9µm",HDR,1080p@30fps,"Yes, with stereo speakers",Yes,UFS 3.1,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX HD, aptX Adaptive","Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS",,No,"2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4729 mAh, non-removable","Fast charging 65W, 100% in 38 min (advertised) Magnetic charging 18W","Sky Cloud Black, Crystal Blue",,About 600 EUR,,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 13 MP, f/2.3, 120˚ (ultrawide) 5 MP, f/2.2, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xiaomi,Xiaomi Poco M2 Pro,https://fdn2.gsmarena.com/vv/bigpic/poco-m2-pro.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Water-repellent coating,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 5, 8, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, July 07","Available. Released 2020, July 14",165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in),209 g (7.37 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.67 inches, 107.4 cm2 (~84.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",450 nits typ. brightness (advertised) HDR10,"Android 10, MIUI 11",Qualcomm SM7125 Snapdragon 720G (8 nm),Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),Adreno 618,microSDXC (dedicated slot),"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro), AF 2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","16 MP, f/2.5, (wide), 1/3.06"" 1.0µm","HDR, panorama",1080p@30/120fps,Yes,Yes,UFS 2.1,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,"FM radio, recording","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",Fast charging 33W,"Out Of The Blue, Green and Greener, Two Shades of Black",,"₹ 17,999",Corning Gorilla Glass 5,,,,,,,"₹ 17,999",,,,,,,,,,,,,Yes,,,0.91 W/kg (head)     0.56 W/kg (body),,,,,,,,,,,,,,,,,,,
