Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser
xolo,XOLO Era 2X,https://fdn2.gsmarena.com/vv/bigpic/lava-xolo-2x.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.0,HSDPA 900 / 2100,"3, 5, 40",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, January","Available. Released 2017, January",144 x 72.3 x 9.5 mm (5.67 x 2.85 x 0.37 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,microSDHC,"16GB 2GB RAM, 16GB 3GB RAM",,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 2500 mAh, removable",,"Black/Gun Metal, Latte Gold",,,,,,,,,,,,,,,"5 MP, f/2.4",,,,Up to 322 h (3G),,Up to 16 h (2G) / Up to 12 h (3G),,,,,,,,,,,,
xolo,XOLO Era 2,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,"3, 5, 40",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, October","Available. Released 2016, October",146.5 x 73 x 9.2 mm (5.77 x 2.87 x 0.36 in),-,,Dual SIM,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~64.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 6.0 (Marshmallow),Spreadtrum SC9832A,Quad-core 1.3 GHz,Mali-400MP3,microSDHC,8GB 1GB RAM,,"Panorama, LED flash",720p@30fps,"5 MP, f/2.0, 1.4µm, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2350 mAh, removable",,"Black, Blue, Gold",era 2,,,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,
xolo,XOLO Era 1X,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-1x.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,"3, 5, 40",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, September","Available. Released 2016, September",145.5 x 72 x 8.6 mm (5.73 x 2.83 x 0.34 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 6.0 (Marshmallow),Spreadtrum SC9832A,Quad-core 1.3 GHz,Mali-400MP3,microSDHC,8GB 1GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"8 MP, AF",dual-LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2500 mAh, removable",,"Black, Brown/Gold",,,,,,,,,,,,,,,5 MP,,,,Up to 185 h,,Up to 22 h (2G) / Up to 13 h 30 min (3G),,,,,,,,,,,,
xolo,XOLO Era X,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-x.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 900 / 2100,"3, 5, 40",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, February","Available. Released 2016, February",145.5 x 72 x 8.5 mm (5.73 x 2.83 x 0.33 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Spreadtrum SC9830A,Quad-core 1.5 GHz,,microSDHC,8GB 2GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"8 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2500 mAh, removable",,Black,,,Corning Gorilla Glass,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,
xolo,XOLO Era 4K,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-4k.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 900 / 2100,"3, 40",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, February","Available. Released 2016, February",143 x 71.8 x 9.2 mm (5.63 x 2.83 x 0.36 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 5.1.1 (Lollipop),Mediatek MT6735P (28 nm),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,microSDHC,8GB 2GB RAM,,"Dual-LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 4000 mAh, non-removable",,"Blue, White",,,Corning Gorilla Glass 3,,,,,,,,,,,,"5 MP, f/2.2",,,,Up to 624 h (2G) / Up to 528 h (3G),,Up to 32 h (2G) / Up to 17 h (3G),,,,,,,,,,,,
xolo,XOLO Era 4G,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-4g-.jpg,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,,HSDPA 900 / 2100,"3, 5, 40",,HSPA 21.1/5.76 Mbps,"2016, February","Available. Released 2016, February",145.5 x 72 x 8.5 mm (5.73 x 2.83 x 0.33 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Spreadtrum SC9830A,Quad-core 1.5 GHz,Mali-400MP2,microSDHC,8GB 1GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"5 MP, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2500 mAh, removable",,Black,,,Corning Gorilla Glass,,,,,,,,,,,,2 MP,,,,Up to 455 h (2G) / Up to 329 h (3G),,Up to 13 h 30 min (2G) / Up to 10 h 45 min (3G),,,,,0.26 W/kg (head)     0.23 W/kg (body),,,,,,,
xolo,XOLO One HD,https://fdn2.gsmarena.com/vv/bigpic/xolo-one-hd.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,,,HSPA 21.1/5.76 Mbps,"2015, December","Available. Released 2016, January",143 x 72.6 x 9.5 mm (5.63 x 2.86 x 0.37 in),-,,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 5.1 (Lollipop),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDXC,8GB 1GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.2, AF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Po 2300 mAh, removable",,"Space Gray, White",,,,,,,,,,,,,,,5 MP,,,,Up to 200 h (2G) / Up to 182 h (3G),,Up to 5 h (2G) / Up to 4 h 30 min (3G),,,,,0.22 W/kg (head)     0.48 W/kg (body),,,,,,,
xolo,XOLO Black 3GB,https://fdn2.gsmarena.com/vv/bigpic/xolo-black-3gb.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 900 / 2100,"3, 40",,"HSPA 42.2/7.2 Mbps, LTE Cat4 150/50 Mbps","2015, December. Released 2015, December",Discontinued,155.5 x 76.6 x 7.3 mm (6.12 x 3.02 x 0.29 in),-,"Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame",Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"Android 5.0 (Lollipop) , HIVE Atlas UI",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDHC,16GB 3GB RAM,,"LED flash, panorama, HDR",1080p@30fps,5 MP,LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Po 3200 mAh, non-removable",,Black,,,Corning Gorilla Glass 3,,,,,,,,,,,"13 MP, f/2.0, AF 2 MP, f/2.4, (depth)",,,,,Up to 798 h (2G) / Up to 634 h (3G),,Up to 36 h (2G) / Up to 27 h (3G),,,,,0.13 W/kg (head)     0.27 W/kg (body),,,,,,,
xolo,XOLO Black 1X,https://fdn2.gsmarena.com/vv/bigpic/xolo-black-1x.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,LTE 1800 TD-LTE 2300,,"HSPA 42.2/7.2 Mbps, LTE Cat4 150/50 Mbps","2015, October. Released 2015, October",Discontinued,144.6 x 72 x 7.6 mm (5.69 x 2.83 x 0.30 in),-,,Hybrid Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,"Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow), HIVE Atlas UI",Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,microSDXC (uses shared SIM slot),32GB 3GB RAM,,"LED flash, panorama, HDR",1080p@30fps,"13 MP, PDAF",LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",,FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass","Li-Po 2400 mAh, non-removable",,Black,,About 140 EUR,Asahi Dragontrail Glass,,,,,,,,,,,,5 MP,,,,Up to 394 h (2G) / Up to 354 h (3G),,Up to 27 h (2G) / Up to 12 h (3G),,,,,0.09 W/kg (head)     0.14 W/kg (body),,,,,,,
xolo,XOLO Black,https://fdn2.gsmarena.com/vv/bigpic/xolo-black-2015.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 900 / 2100,LTE 1800 TD-LTE 2300,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2015, July. Released 2015, July",Discontinued,155.5 x 76.6 x 7.3 mm (6.12 x 3.02 x 0.29 in),-,"Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame",Hybrid Dual SIM (Micro-SIM/Nano-SIM),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 82.6 cm2 (~69.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",,"Android 5.0 (Lollipop), HIVE Atlas UI",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,microSDHC (uses shared SIM slot),16GB 2GB RAM,,"LED flash, panorama, HDR",1080p@30fps,5 MP,LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 3200 mAh, non-removable",,Black,,About 180 EUR,Corning Gorilla Glass 3,,,,,,,,,,,"13 MP, AF 2 MP, (depth)",,,,,Up to 736 h (2G) / Up to 699 h (3G),,Up to 36 h (2G) / Up to 24 h (3G),,,,,0.13 W/kg (head)     0.27 W/kg (body),,,,,,,
