Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser
yezz,Yezz Liv 2 LTE,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv-2-lte.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,"2, 3, 4, 7, 12, 17, 28",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March","Available. Released 2020, August",149 x 72.5 x 9.7 mm (5.87 x 2.85 x 0.38 in),112 g (3.95 oz),,"Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~63.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",,Android 10 (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,,microSDXC (dedicated slot),16GB 1GB RAM,,"LED flash, HDR",1080p@30fps,,LED flash,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",,"FM radio, recording",microUSB 2.0,"Accelerometer, proximity","Li-Ion 2450 mAh, removable",,"Black, Green, Red, Gray",,,Corning Gorilla Glass 3 or Asahi Dragontrail Glass,,,,,,,,,,,"8 MP, AF 2 MP",,,"12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm 8 MP, 12mm, (ultrawide)",,,,,,,,,,,,,,,,
yezz,Yezz Art 1,https://fdn2.gsmarena.com/vv/bigpic/yezz-art1.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 1900 / 850,"2, 3, 4, 7, 12, 17, 28",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March","Available. Released 2020, August",155.2 x 72.9 x 9.7 mm (6.11 x 2.87 x 0.38 in),120 g (4.23 oz),,"Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm2 (~80.7% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,Android 10,Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,,microSDXC (dedicated slot),32GB 3GB RAM,,"Dual-LED flash, panorama, HDR",1080p@30fps,8 MP,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Ion 3000 mAh, removable",,"Green, Blue",,,AGC glass,,,,,,,,,,,"13 MP, AF 0.3 MP",,,,,,,,,,,,,,,,,,,
yezz,Yezz GO 1,https://fdn2.gsmarena.com/vv/bigpic/yezz-go1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2020, February","Available. Released 2020, July 28",128.5 x 65.2 x 11 mm (5.06 x 2.57 x 0.43 in),123 g (4.34 oz),,"Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~54.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 10 (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz,Mali-400,microSDXC (dedicated slot),8GB 1GB RAM,,"LED flash, Panorama, HDR",720p,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 1400 mAh, removable",,"Black, Gun Metal, Blue",,,,,,,,,,,,,,,2 MP,,,,,,,,,,,,,,,,,,
yezz,Yezz Max 1 Plus,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-1-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,"2, 3, 4, 7, 12, 17",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, August","Available. Released 2019, September",148.7 x 70.9 x 8.9 mm (5.85 x 2.79 x 0.35 in),104.9 g (3.70 oz),,"Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~72.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,Android 9.1 Pie (Go edition),Unisoc SC9832E (28nm),Quad-core 1.3 GHz Cortex-A53,Mali-T820 MP1,microSDXC (dedicated slot),16GB 2GB RAM,,"LED flash, panorama, HDR",1080p@30fps,8 MP,LED flash,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, removable",,"Black, Gun Metal, Blue",,About 90 USD,AGC glass,,,,,,,,,,,8 MP 0.3 MP,,,,,Up to 280 h,,Up to 9 h,,,,,,,,,,,,
yezz,Yezz LIV1,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2019, August","Available. Released 2019, September",138.5 x 65.8 x 9.5 mm (5.45 x 2.59 x 0.37 in),133.3 g (4.69 oz),,"Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 64.5 cm2 (~70.8% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",,Android 9.1 Pie (Go edition),Unisoc SC7731E (28nm),Quad-core 1.3 GHz Cortex-A7,Mali-T820 MP1,microSDXC (dedicated slot),16GB 1GB RAM,,"LED flash, panorama, HDR",1080p@30fps,5 MP,LED flash,720p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, removable",,"Black, Gun Metal, Blue, Red",,About 55 USD,AGC glass,,,,,,,,,,,,2 MP,,,,Up to 220 h,,Up to 7 h 30 min,,,,,,,,,,,,
yezz,Yezz Max 1,https://fdn2.gsmarena.com/vv/bigpic/yezz-max1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 42.2/5.76 Mbps,"2018, October","Available. Released 2018, December",139 x 65.8 x 8.8 mm (5.47 x 2.59 x 0.35 in),120 g (4.23 oz),,"Dual SIM (Nano-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 64.5 cm2 (~70.5% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",,Android 8.1 (Oreo),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),16GB 2GB RAM,,"LED flash, panorama, HDR",720p@30fps,8 MP,LED flash,720p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, removable",,Black,,About 65 USD,,,,,,,,,,,,,8 MP,,,,Up to 180 h,,Up to 5 h 30 min,,,,,,,,,,,,
yezz,Yezz Andy 4E7,https://fdn2.gsmarena.com/vv/bigpic/yezz-4e7.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 900 / 1900 / 2100,,,HSPA 21.1/5.76 Mbps,"2018, September","Available. Released 2018, September",126 x 65 x 10.7 mm (4.96 x 2.56 x 0.42 in),112 g (3.95 oz),,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","TN capacitive touchscreen, 16M colors","5.0 inches, 71.2 cm2 (~86.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",,Android 8.1 Oreo (Go edition),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400,microSDHC (dedicated slot),8GB 1GB RAM,,LED flash,1080p@30fps,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,"FM radio, recording",microUSB 2.0,"Accelerometer, proximity","Li-Ion 1400 mAh, removable",,"Black, Dark Gray, Gold",,,,,,,,,,,,,,,2 MP,,,,Up to 300 h,,Up to 4 h,,,,,,,,,,,,
yezz,Yezz Andy 5E5,https://fdn2.gsmarena.com/vv/bigpic/yezz-5e5.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - 5E5043,HSDPA 850 / 900 / 1900 / 2100 - 5E5052,,,HSPA 21.1/5.76 Mbps,"2018, August","Available. Released 2018, August",139.8 x 71.5 x 8.6 mm (5.50 x 2.81 x 0.34 in),125 g (4.41 oz),,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","TN capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,Android 8.0 Oreo (Go edition),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,microSDHC (dedicated slot),8GB 1GB RAM,,LED flash,1080p@30fps,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, non-removable",,"Black, Dark Gray, Gold",,,Yes,,,,,,,,,,,,2 MP,,,,Up to 180 h (3G),,Up to 6 h (3G),,,,,,,,,,,,
yezz,Yezz Epic T,https://fdn2.gsmarena.com/vv/bigpic/yezz-epic-t.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,IP68 dust/water resistant (up to 1.5m for 30 mins) MIL-STD-810G compliant Flashlight,HSDPA 850 / 1900 / 2100,"2, 4, 7, 17, 28",,"HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2018, March","Available. Released 2018, April",168.8 x 86.5 x 15.9 mm (6.65 x 3.41 x 0.63 in),469 g (1.03 lb),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~57.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",eMMC 5.1,Android 7.0 (Nougat),Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (dedicated slot),32GB 3GB RAM,,"LED flash, panorama, HDR",1080p@60fps,"16 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,FM radio,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Po 9000 mAh, non-removable",Charging 10W,Black,,About 250 EUR,Corning Gorilla Glass 3,,,,,,,,,,,,8 MP,,,,Up to 650 h (3G),,Up to 30 h (3G),,,,,,,,,,,,
yezz,Yezz Andy 4E4,https://fdn2.gsmarena.com/vv/bigpic/yezz-4e4.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 850 / 1900 - AM4E4I043,,,HSPA 21.1/5.76 Mbps,"2016, November","Available. Released 2016, December",125.8 x 63 x 10.8 mm (4.95 x 2.48 x 0.43 in),112 g (3.95 oz),,"Dual SIM, (Micro-SIM)","TN capacitive touchscreen, 16M colors","4.0 inches, 44.1 cm2 (~55.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)",,Android 6.0 (Marshmallow),Spreadtrum SC7731C,Quad-core 1.2 GHz Cortex-A7,Mali-400MP2,microSDXC (dedicated slot),4GB 512MB RAM,,"LED flash, panorama",720p@30fps,5 MP,,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, hotspot",2.1,"Yes, with A-GPS",,Stereo FM radio,microUSB 2.0,Accelerometer,Li-Ion 1400 mAh battery,,"Black, White, Gray, Blue, Pink",,,,,,,,,,,,,,,2 MP,,,,Up to 116 h (3G),,Up to 4 h (3G),,,,,,,,,,,,
