Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser
yu,YU Ace,https://fdn2.gsmarena.com/vv/bigpic/yu-ace-2.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 900 / 2100,"1, 3, 5, 40, 41",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2018, August","Available. Released 2018, September",148 x 70.5 x 9.6 mm (5.83 x 2.78 x 0.38 in),159 g (5.61 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~73.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",,Android 8.0 (Oreo),Mediatek MT6739WW (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 3GB RAM",,LED flash,1080p@30fps,"13 MP, AF",LED flash,720p@30fps,Yes,Yes,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, removable",Charging 10W,"Charcoal Grey, Elektric Blue, Rose Gold",YU5014,About 6000 INR,,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,
yu,YU Yureka 2,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka2-yu5551.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 900 / 2100,"3, 5, 40",,"HSPA 42.2/5.76 Mbps, LTE","2017, September","Available. Released 2017, September",152.6 x 76.5 x 8.2 mm (6.01 x 3.01 x 0.32 in),-,,Hybrid Dual SIM (Micro-SIM/Nano SIM),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Android 6.0 (Marshmallow),Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,Adreno 506,microSDXC (uses shared SIM slot),64GB 4GB RAM,,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"16 MP, AF",,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Li-Ion 3930 mAh, non-removable",Charging 10W,Gold,YU5551,About 12000 INR,To be confirmed,,,,,,,,,,,,8 MP,,,,,,,,,,,,,,,,,,
yu,YU Yunique 2,https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-2-yu5011.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.0,HSDPA 900 / 2100,"3, 40",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2017, July","Available. Released 2017, July",145 x 72.7 x 9.2 mm (5.71 x 2.86 x 0.36 in),159 g (5.61 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,Mali-T720,microSDXC (dedicated slot),16GB 2GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"13 MP, f/2.0, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,"Stereo FM radio, RDS, recording","microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Li-Po 2500 mAh, removable",,"Champagne Gold, Coal Black","YU5011, YU5012",About 6000 INR,Corning Gorilla Glass 3,,,,,,,,,,,,5 MP,,,,,,,,,,,,,,,,,,
yu,YU Yureka Black,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-yu5040.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 5, 40",,"HSPA 42.2/5.76 Mbps, LTE","2017, June","Available. Released 2017, June",142 x 69.6 x 8.7 mm (5.59 x 2.74 x 0.34 in),152 g (5.36 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,Android 6.0 (Marshmallow),Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,Adreno 505,microSDXC (uses shared SIM slot),32GB 4GB RAM,,"Dual-LED flash, panorama",1080p@30fps,"13 MP, 1/3.1"", 1.12µm, PDAF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity","Li-Po 3000 mAh, non-removable",,"Matte Black, Chrome Black",YU5040,About 9000 INR,Corning Gorilla Glass 3,,,,,,,,,,,,8 MP,,,,Up to 168 h (2G) / Up to 168 h (3G),,Up to 28 h (2G) / Up to 21 h (3G),,,,,,,,,,,,
yu,YU Yunique Plus,https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-plus.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 900 / 2100,"3, 40",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, August",8.3 mm thickness,128 g (4.52 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,Android 5.1.1 (Lollipop),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDHC,8GB 2GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, AF",HDR,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, aptX","Yes, with A-GPS, GLONASS",,"Stereo FM radio, RDS, recording","microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Li-Po 2000 mAh, non-removable",,Black,,About 80 EUR,Corning Gorilla Glass 3,,,,,,,,,,,,2 MP,,,,Up to 345 h,,Up to 7 h,Up to 12 h,,,,,,,,,,,
yu,YU Yureka S,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-s.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 900 / 2100,"3, 40",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, August","Available. Released 2016, August",154.8 x 78 x 8.8 mm (6.09 x 3.07 x 0.35 in),172 g (6.07 oz),,"Hybrid Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~61.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,Android 5.1.1 (Lollipop),Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.1 GHz Cortex-A53),Adreno 405,microSDXC (uses shared SIM slot),16GB 3GB RAM,,"LED flash, panorama",1080p@30fps,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF",,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, non-removable",,"Dark Grey, Rose Gold, White",YU5200,About 170 EUR,Corning Gorilla Glass 3,,,,,,,,,,,,"5 MP, f/2.2",,,,Up to 450 h,,Up to 9 h,,,,,,,,,,,,
yu,YU Yunicorn,https://fdn2.gsmarena.com/vv/bigpic/yu-yunicorn.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Around YU 2,HSDPA 900 / 2100,"3, 5, 40",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, May","Available. Released 2016, June",153.3 x 75.4 x 8.5 mm (6.04 x 2.97 x 0.33 in),172 g (6.07 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",eMMC 5.1,Android 5.1.1 (Lollipop),Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,microSDXC (uses shared SIM slot),32GB 4GB RAM,,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"13 MP, f/2.2, PDAF",,,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n, hotspot","4.1, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",,"Silver, graphite, gold","YU5530, U55",About 180 EUR,,,,,,,,,,,,,"5 MP, f/2.0",,,,Up to 500 h (3G),0.52 W/kg (head)     0.81 W/kg (body),Up to 20 h (3G),Up to 100 h,,,,,,,,,,,
yu,YU Yureka Note,https://fdn2.gsmarena.com/vv/bigpic/yu-yureka-note.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,HSDPA 900 / 2100,LTE (unspecified),,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","2016, April","Available. Released 2016, May",159 x 84.1 x 7.9 mm (6.26 x 3.31 x 0.31 in),184 g (6.49 oz),,"Hybrid Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~74.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,Android 5.1.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.5 GHz Cortex-A53,Mali-T720MP3,microSDXC (uses shared SIM slot),16GB 3GB RAM,,"Dual-LED flash, HDR, panorama",1080p@30fps,"13 MP, PDAF",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity","Li-Po 4000 mAh, non-removable",Fast charging 18W Quick Charge 2.0,Black,"U60, 6000",About 180 EUR,Corning Concore Glass 3,,,,,,,,,,,,8 MP,,,,,,,,,,,,,,,,,,
yu,YU Yutopia,https://fdn2.gsmarena.com/vv/bigpic/yu-yutopia.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.0,HSDPA 900 / 2100,"3, 5, 7, 20, 40",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, December. Released 2015, December",Discontinued,146.6 x 72.7 x 7.2 mm (5.77 x 2.86 x 0.28 in),159 g (5.61 oz),,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~69.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~565 ppi density)",,"Android 5.1.1 (Lollipop), Cyanogen 12.1",Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x2.0 GHz Cortex A57 & 4x1.5 GHz Cortex-A53),Adreno 430,microSDXC (uses shared SIM slot),32GB 4GB RAM,,"Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 720p@120fps","21 MP, f/2.2, 27mm (wide), 1/2.4"", 1.12µm, PDAF, OIS",,,"Yes, with stereo speakers",Yes,,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",,FM radio,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass","Li-Po 3000 mAh, non-removable",Fast charging 18W Quick Charge 2.0,Silver,YU5050,About 420 EUR,Corning Concore Glass,,,,,,,,,,,,"8 MP, f/2.2, 1/3.2"", 1.4µm",,,,Up to 300 h (3G),,Up to 8 h (3G),,,,,,,,,,,,
yu,YU Yunique,https://fdn2.gsmarena.com/vv/bigpic/yu-yunique-.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 4.5,HSDPA 900 / 2100,"3, 40",,"HSPA, LTE Cat4 150/50 Mbps","2015, September. Released 2015, September",Discontinued,134.5 x 67.5 x 8.3 mm (5.30 x 2.66 x 0.33 in),128 g (4.52 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,Android 5.1.1 (Lollipop),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,microSDHC (dedicated slot),8GB 1GB RAM,,"LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, AF",HDR,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, aptX","Yes, with A-GPS, GLONASS",,"Stereo FM radio, RDS, recording","microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Li-Po 2000 mAh, non-removable",,Black,YU4711,About 70 EUR,Corning Gorilla Glass 3,,,,,,,,,,,,2 MP,,,,Up to 271 h,,Up to 7 h,,,,,,,,,,,,
