Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,_1,OS,Chipset,CPU,GPU,Card slot,Internal,Quad,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Protection,Triple,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,128GB 8GB RAM,256GB 12GB RAM,128GB 12GB RAM,Dual,Single_1,Audio quality,Dual_1,Triple_1,Stand-by,SAR,Talk time,Music play,Infrared port,GPRS,EDGE,SAR EU,Keyboard,Phonebook,Call records,Messaging,Games,Java,Browser
zte,ZTE Axon 20 5G,https://fdn2.gsmarena.com/vv/bigpic/zte-axon-20-5g.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41","1, 3, 28, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G","2020, September 01","Available. Released 2020, September 10",172.1 x 77.9 x 8 mm (6.78 x 3.07 x 0.31 in),198 g (6.98 oz),"Glass front, glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 1B colors","6.92 inches, 113.7 cm2 (~84.8% screen-to-body ratio)",1080 x 2460 pixels (~388 ppi density),90Hz refresh rate,"Android 10, MiFavor 10.5",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC,"128GB 6GB RAM, 256GB 8GB RAM","64 MP, f/1.8, 25mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.2, 120˚, 16mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama","4K@30/60fps, 1080p@30fps, gyro-EIS, HDR","32 MP, f/2.0, (wide), under display",HDR,1080p@30fps,Yes,Unspecified,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,No,"3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 4220 mAh, non-removable","Fast charging 30W, 60% in 30 min (advertised) Quick Charge 4+","Black, Gold, Blue, Purple",A2121,About 270 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zte,ZTE nubia Watch,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-watch.jpg,GSM / HSPA / LTE,GSM 1800,eMMC 4.5,HSDPA 2100,"1, 3, 38, 39, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE","2020, July 28","Available. Released 2020, August 05",125 x 41.5 x 14.2 mm (4.92 x 1.63 x 0.56 in),98 g (3.46 oz),"Plastic front (display), stainless steel 316L & aluminum alloy frame",eSIM,"AMOLED capacitive touchscreen, 16M colors","4.01 inches, 20.0 cm2 (~38.5% screen-to-body ratio)",192 x 960 pixels (~244 ppi density),,Proprietary platform,Qualcomm MSM8909W Snapdragon Wear 2100,Quad-core 1.1 GHz Cortex-A7,Adreno 304,No,8GB 1GB RAM,,,,,,,Yes,No,MP3 player Photo/video viewer Voice dial/commands,Wi-Fi 802.11 b/g/n,"5.0, A2DP, LE","Yes, with A-GPS",,No,No,"Accelerometer, gyro, heart rate, compass","Li-Ion 420 mAh, non-removable",,"Black, Red, Green",,About 250 EUR,Corning Gorilla Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zte,ZTE nubia Red Magic 5S,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-5s.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 & TD-SCDMA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41","41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G 7.5 Gbps DL","2020, July 28","Available. Released 2020, August 01",168.6 x 78 x 9.8 mm (6.64 x 3.07 x 0.39 in),220 g (7.76 oz),"Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.65 inches, 108.6 cm2 (~82.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)",CDMA2000 1xEV-DO,"Android 10, Redmagic 3.0",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM",,"LED flash, HDR, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps","8 MP, f/2.0, (wide), 1.12µm",HDR,1080p@30fps,"Yes, with stereo speakers",Yes,32-bit/384kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, aptX, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO",Yes,No,"3.0, Type-C 1.0 reversible connector, USB On-The-Go; accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","Fast charging 55W, 56% in 15 min, 100% in 40 min (advertised)","Silver, Pulse",,About 580 EUR,Corning Gorilla Glass,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.0, 120˚, 13mm (ultrawide), 1.12µm 2 MP, (macro)","AnTuTu: 557056 (v8) GeekBench: 13400 (v4.4), 3386 (v5.1) GFXBench: 46fps (ES 3.1 onscreen)",Contrast ratio: Infinite (nominal),Photo / Video,-22.6 LUFS (Excellent),Endurance rating 83h,,,,,,,,,,,,,,,,,,,,,,,,
zte,ZTE nubia Red Magic 5G Lite,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-play.jpg,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Touch sensitive gaming triggers,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,LTE (unspecified),SA/NSA,"HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, June 19","Available. Released 2020, June 19",171.7 x 78.5 x 9.1 mm (6.76 x 3.09 x 0.36 in),215 g (7.58 oz),,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.65 inches, 108.6 cm2 (~80.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)",144Hz refresh rate,"Android 10, nubia UI 8.0",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,No,256GB 8GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30/60fps, 1080p@30fps; gyro-EIS","12 MP, (wide)",HDR,1080p@30fps,Yes,No,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS",Yes,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 5100 mAh, non-removable",Fast charging 18W,"Black, Blue",NX651J,About 600 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zte,ZTE Axon 11 SE 5G,https://fdn2.gsmarena.com/vv/bigpic/zte-axon-11-se-5g1.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,"1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41","1, 3, 28, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, June 01","Available. Released 2020, June 22",162.7 x 76.3 x 8.8 mm (6.41 x 3.00 x 0.35 in),184 g (6.49 oz),,"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.53 inches, 104.7 cm2 (~84.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",UFS 2.1,"Android 10, MiFavor 10.1",MediaTek MT6873 Dimensity 800 5G (7 nm),Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57MP4,microSDXC,128GB 6GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 120˚ (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps","16 MP, f/2.0, (wide)",HDR,1080p@30fps,Yes,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS",,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 4000 mAh, non-removable","Fast charging, 50% in 30 min (advertised)","Aurora Glamour, Aurora Glacier",,About 250 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zte,ZTE nubia Play,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-play.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900 & TD-SCDMA,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 34, 38, 39, 40, 41","1, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, April 21","Available. Released 2020, April 24",171.7 x 78.5 x 9.1 mm (6.76 x 3.09 x 0.36 in),210 g (7.41 oz),,"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.65 inches, 108.6 cm2 (~80.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)",Touch sensitive gaming triggers,"Android 10, nubia UI 8.0",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30/60fps, 1080p@30fps; gyro-EIS","12 MP, (wide)",HDR,1080p@30fps,Yes,No,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS",Yes,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 5100 mAh, non-removable",Fast charging 30W,"Black, White, Blue",,About 310 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zte,ZTE Axon 11 4G,https://fdn2.gsmarena.com/vv/bigpic/zte-axon-11-5g.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,eMMC 5.1,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 28, 32, 38",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, June 04","Available. Released 2020, June 17",159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),168 g (5.93 oz),"Glass front, glass back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm2 (~87.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)",,"Android 10, MiFavor 10",Mediatek MT6771 Helio P70 (12nm),Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,microSDXC (uses shared SIM slot),128GB 6GB RAM,"48 MP, f/1.8, 25mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 120˚, 16mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama",1080p@30fps; gyro-EIS,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",HDR,1080p@30fps,Yes,No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Unspecified,,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 4000 mAh, non-removable",Fast charging,"White, Black",,€ 295.79 / £ 353.31,,,,,,,,€ 295.79,,,,,,,,,,,,,,,,,,,,,,,
zte,ZTE Axon 11 5G,https://fdn2.gsmarena.com/vv/bigpic/zte-axon-11-5g.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900 & TD-SCDMA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41","1, 3, 41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A (3CA), 5G (2+ Gbps DL)","2020, March 23","Available. Released 2020, March 30",159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),168 g (5.93 oz),"Glass front, glass back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm2 (~87.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)",24-bit/192kHz audio,"Android 10, MiFavor 10",Qualcomm SDM765 Snapdragon 765G (7 nm),Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.9, 25mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.2, 120˚, 16mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama","4K@30/60fps, 1080p@30fps; gyro-EIS","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",HDR,1080p@30fps,Yes,No,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,No,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 4000 mAh, non-removable",Fast charging 18W Quick Charge 4+,"White, Black",A2021,€ 533.83 / $ 429.99,,,,,,,,€ 533.83,,,,,,,,,,,,,,,,,,,,,,,
zte,ZTE nubia Red Magic 5G,https://fdn2.gsmarena.com/vv/bigpic/zte-nubia-red-magic-5g.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 20, 12, 17, 18, 19, 26, 34, 38, 39, 40, 41","41, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G 7.5 Gbps DL","2020, March 12","Available. Released 2020, March 19",168.6 x 78 x 9.8 mm (6.64 x 3.07 x 0.39 in),218 g (7.69 oz),"Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.65 inches, 108.6 cm2 (~82.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~388 ppi density)",CDMA2000 1xEV-DO,"Android 10, Redmagic 3.0",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 256GB 16GB RAM",,"LED flash, HDR, panorama","8K@15fps, 4K@30/60fps, 1080p@30/60/120/240fps","8 MP, f/2.0, (wide), 1.12µm",HDR,1080p@30fps,"Yes, with stereo speakers",Yes,32-bit/384kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, aptX, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO",Yes,No,"3.0, Type-C 1.0 reversible connector, USB On-The-Go; accessory connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","Fast charging 55W, 56% in 15 min, 100% in 40 min (advertised)","Eclipse Black, Hot Rod Red, Black, Mars Red, Cyber Neon, Transparent",NX659J,$ 548.66 / £ 569.00,Corning Gorilla Glass,"64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF 8 MP, f/2.0, 13mm (ultrawide), 1.12µm 2 MP, (macro)","AnTuTu: 557056 (v8) GeekBench: 13370 (v4.4), 3387 (v5.1) GFXBench: 46fps (ES 3.1 onscreen)",Contrast ratio: Infinite (nominal),Photo / Video,-22.6 LUFS (Excellent),Endurance rating 83h,,£ 569.00,£ 699.00,$ 575.00,,,,,,,,,,,,,,,,,,,,
zte,ZTE Axon 10s Pro 5G,https://fdn2.gsmarena.com/vv/bigpic/zte-axon-10s-pro-5g-.jpg,GSM / CDMA / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,CDMA 800 / 1900 & TD-SCDMA,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","41, 78 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G (2+ Gbps DL)","2020, February 06",Discontinued,159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),175 g (6.17 oz),"Glass front, glass back, aluminum frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm2 (~87.9% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density)",HDR10,"Android 10, MiFavor 10",Qualcomm SM8250 Snapdragon 865 (7 nm+),Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585),Adreno 650,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 256GB 12GB RAM",,"Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps","20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",HDR,1080p@30fps,"Yes, with stereo speakers",No,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",Yes,No,"2.0, Type-C 1.0 reversible connector","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 4000 mAh, non-removable",Fast charging 18W Quick Charge 4+ Qi wireless charging,"Blue, Black",,,,"48 MP, f/1.7, 28mm (wide), 1/2.0"", 0.8µm, PDAF, OIS 8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom 20 MP, f/2.2, 125˚, 16mm (ultrawide)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
